name,idx,mutations,density,reldens,pdensity,preldens
N-terminus,0,35,0.2777777777777778,-0.02480158730158727,27.77777777777778,-2.4801587301587267
Segment 1,1,20,0.20618556701030927,-0.09639379806905579,20.618556701030926,-9.639379806905579
Segment 2,2,22,0.23404255319148937,-0.06853681188787569,23.404255319148938,-6.8536811887875695
Segment 3,3,20,0.23529411764705882,-0.06728524743230624,23.52941176470588,-6.728524743230624
Segment 4,4,48,0.5714285714285714,0.26884920634920634,57.14285714285714,26.884920634920633
Segment 5,5,28,0.3076923076923077,0.00511294261294265,30.76923076923077,0.511294261294265
Segment 6,6,54,0.5192307692307693,0.21665140415140421,51.92307692307693,21.66514041514042
Linker 1-2,7,9,0.20930232558139536,-0.0932770394979697,20.930232558139537,-9.32770394979697
Linker 2-3,8,11,0.3333333333333333,0.030753968253968256,33.33333333333333,3.0753968253968256
Linker 3-4,9,11,0.4230769230769231,0.12049755799755801,42.30769230769231,12.0497557997558
Linker 4-5,10,25,0.3787878787878788,0.07620851370851373,37.878787878787875,7.620851370851373
Linker 5-6,11,99,0.31629392971246006,0.013714564633095006,31.629392971246006,1.3714564633095006
Domain linker,12,165,0.27049180327868855,-0.03208756180067651,27.049180327868854,-3.208756180067651
C-terminus,13,63,0.2581967213114754,-0.04438264376788964,25.81967213114754,-4.438264376788964
