year,yes,no
1996,0,18
1997,0,0
1998,1,2
1999,1,2
2000,7,5
2001,12,2
2002,14,8
2003,7,4
2004,5,4
2005,10,18
2006,3,4
2007,17,3
2008,18,8
2009,7,11
2010,3,27
2011,6,17
2012,4,15
2013,9,15
2014,12,37
2015,5,33
