xaxis,xlabel,density,relative-density
1,N-terminus,0.2777777777777778,-0.02480158730158727
2,Domain 1,0.32525951557093424,0.022680150491569184
3,Linker D1-D2,0.2702702702702703,-0.032309094809094774
4,Domain 2,0.2850877192982456,-0.017491645781119447
5,Linker D2-D3,0.19157088122605365,-0.11100848385331141
6,Domain 3,0.3592592592592593,0.05667989417989422
7,Linker D3-D4,0.660377358490566,0.35779799341120094
8,Domain 4,0.3654618473895582,0.06288248231019317
9,C-terminus,0.2581967213114754,-0.04438264376788964
