year,achen,bstar,astar,b,a,Unknown
1996,16,0,2,0,0,0
1997,0,0,0,0,0,0
1998,0,0,3,0,0,0
1999,0,0,3,0,0,0
2000,0,1,10,0,0,1
2001,0,0,9,0,0,5
2002,0,1,15,4,0,2
2003,0,0,5,0,0,6
2004,0,0,2,1,1,5
2005,0,1,4,9,8,6
2006,0,0,0,1,2,4
2007,0,2,3,8,0,7
2008,0,1,17,0,2,6
2009,0,0,1,3,8,6
2010,0,0,20,4,3,3
2011,0,0,1,3,14,5
2012,0,0,1,0,2,16
2013,0,0,13,3,3,5
2014,0,0,4,17,21,7
2015,0,0,1,25,6,6
