year,b,astar,a,achen,bstar,Unknown
1996,0,2,0,16,0,0
1997,0,0,0,0,0,0
1998,0,3,0,0,0,0
1999,0,3,0,0,0,0
2000,0,10,0,0,1,1
2001,0,9,0,0,0,5
2002,4,15,0,0,1,2
2003,0,5,0,0,0,6
2004,1,2,1,0,0,5
2005,9,4,8,0,1,6
2006,1,0,2,0,0,4
2007,8,3,0,0,2,7
2008,0,17,2,0,1,6
2009,3,1,8,0,0,6
2010,4,20,3,0,0,3
2011,3,1,14,0,0,5
2012,0,1,2,0,0,16
2013,3,13,3,0,0,5
2014,17,4,21,0,0,7
2015,2,1,1,0,0,6
