0-Bebarova 2008,1-Cheng 2010,2-Cheng 2010,3-Cheng 2011,4-Ge 2008,6-Hsueh 2009,7-Hu 2015,8-Juang 2014a,9-Kapplinger 2015,10-Kapplinger 2015,11-Kapplinger 2015,12-Kapplinger 2015,13-Kapplinger 2015,18-Tan 2005,19-Tan 2005,20-Tan 2005,21-Tan 2005,22-Tan 2005,23-Tan 2005,24-Tan 2005,25-Tan 2005,26-Tan 2006,27-Watanabe 2011b,28-Watanabe 2011b,29-Zeng 2013,sum,gauss,x
2.64578884163e-110,1.19141943827e-215,0.0,4.22799607537e-71,1.83101568704e-93,6.18833089e-307,5.68584629377e-31,0.0,0.0,0.0,2.17876658536e-108,8.46257329779e-188,6.77437863578e-127,3.21844531643e-137,3.21844531643e-137,8.13105448635e-132,1.18127861575e-32,0.0,3.19039897898e-178,5.57191225335e-69,0.0,1.17484984436e-78,5.72250509252e-259,1.94495303207e-95,2.21215032562e-133,5.80397415534e-31,2.01266700016e-66,-138.399984
5.54390298423e-110,5.12399942129e-215,0.0,7.00889115631e-71,3.49218870444e-93,6.39398066411e-306,7.00014415225e-31,0.0,0.0,0.0,4.64882384222e-108,3.34334098274e-187,1.65929872284e-126,8.68943731288e-137,8.68943731288e-137,2.17270367541e-131,1.4697443307e-32,0.0,1.2157386204e-177,9.10973061021e-69,0.0,2.11704475183e-78,3.56629933408e-258,4.11307448634e-95,5.56678987724e-133,7.14711858532e-31,3.24412482798e-66,-138.2399824
1.1603620158e-109,2.19891296919e-214,0.0,1.16093598965e-70,6.65375787057e-93,6.58073687881e-305,8.61529934562e-31,0.0,0.0,0.0,9.90740208336e-108,1.31793436536e-186,4.05851467124e-126,2.34229876457e-136,2.34229876457e-136,5.79622265955e-131,1.82800267207e-32,0.0,4.62242965308e-177,1.48819334349e-68,0.0,3.81103915101e-78,2.2162260017e-257,8.68659844062e-95,1.39886996683e-132,8.79809961282e-31,5.22504009256e-66,-138.0799808
2.42598899734e-109,9.4158945822e-214,0.0,1.92137197877e-70,1.2664846603e-92,6.74657186905e-304,1.05994975982e-30,0.0,0.0,0.0,2.10892338811e-107,5.18372286228e-186,9.91281704478e-126,6.3037363263e-136,6.3037363263e-136,1.54376274231e-130,2.27278021388e-32,0.0,1.75361919157e-176,2.42921379331e-68,0.0,6.85365878446e-78,1.37333012927e-256,1.83213989497e-94,3.51020263457e-132,1.08267756196e-30,8.40907328555e-66,-137.9199792
5.0664246827e-109,4.02318230637e-213,0.0,3.17730458468e-70,2.4082220387e-92,6.88965051514e-303,1.30362208662e-30,0.0,0.0,0.0,4.48379897053e-107,2.03434520186e-185,2.41776724899e-125,1.69378742335e-135,1.69378742335e-135,4.10494160907e-130,2.8247735282e-32,0.0,6.63796794424e-176,3.96209310383e-68,0.0,1.23130953988e-77,8.48595059585e-256,3.85916397816e-94,8.79567864768e-132,1.3318698219e-30,1.35230012223e-65,-137.7599776
1.05689488413e-108,1.71526969935e-212,0.0,5.24989315754e-70,4.5746383926e-92,7.00836400475e-302,1.60276429593e-30,0.0,0.0,0.0,9.52172815018e-107,7.96603857254e-185,5.88869849988e-125,4.5438593883e-135,4.5438593883e-135,1.08974364741e-129,3.50958213374e-32,0.0,2.50708982156e-175,6.45708007763e-68,0.0,2.20992587314e-77,5.22866357002e-255,8.11808413514e-94,2.20084189367e-131,1.63786011726e-30,2.17302376966e-65,-137.599976
2.20231502403e-108,7.29708990443e-212,0.0,8.66734930347e-70,8.68121807322e-92,7.10135992678e-301,1.9698770884e-30,0.0,0.0,0.0,2.0196203517e-106,3.11239739298e-184,1.43222607766e-124,1.21701513173e-134,1.21701513173e-134,2.8882357664e-129,4.3588584658e-32,0.0,9.44799203493e-175,1.05147808501e-67,0.0,3.96235940505e-77,3.21251783354e-254,1.70545230526e-93,5.49908786863e-131,2.01346567306e-30,3.48917141753e-65,-137.4399744
4.58399914823e-108,3.0975730453e-211,0.0,1.42977056771e-69,1.64576648049e-91,7.16756791046e-300,2.42024938766e-30,0.0,0.0,0.0,4.27866233669e-106,1.21334013255e-183,3.47849404369e-124,3.25440941429e-134,3.25440941429e-134,7.64243706664e-129,5.41172482556e-32,0.0,3.5525812971e-174,1.71086931099e-67,0.0,7.09734181007e-77,1.96818104299e-253,3.57809052271e-93,1.37206535509e-130,2.47436663592e-30,5.59817634971e-65,-137.2799728
9.53074952058e-108,1.31204277487e-210,0.0,2.35662578314e-69,3.11687518307e-91,7.20622013029e-299,2.9725736872e-30,0.0,0.0,0.0,9.05379392716e-106,4.71959751924e-183,8.4364236449e-124,8.68867418505e-134,8.68867418505e-134,2.01893359191e-128,6.7165186454e-32,0.0,1.33285655917e-173,2.78154444831e-67,0.0,1.26999869359e-76,1.20240061718e-252,7.49702197298e-93,3.41854469269e-130,3.03973887365e-30,8.97505841439e-65,-137.1199712
1.97937018614e-107,5.54535060602e-210,0.0,3.88113827513e-69,5.89704254188e-91,7.21686612764e-298,3.64969573204e-30,0.0,0.0,0.0,1.91353985367e-105,1.83173332895e-182,2.04320962395e-123,2.31600744627e-133,2.31600744627e-133,5.32479792017e-128,8.3329413468e-32,0.0,4.98950754688e-173,4.51863986813e-67,0.0,2.27026484296e-76,7.3248373462e-252,1.56874356951e-92,8.50530809518e-130,3.73302514551e-30,1.43778660184e-64,-136.9599696
4.10624099047e-107,2.33864662339e-209,0.0,6.38663101424e-69,1.11458389128e-90,7.19938154887e-297,4.47952753523e-30,0.0,0.0,0.0,4.03951042806e-105,7.09339938405e-182,4.94145562857e-123,6.16355826341e-133,6.16355826341e-133,1.40208763992e-127,1.03347031422e-31,0.0,1.86366065237e-172,7.33469421667e-67,0.0,4.05429616105e-76,4.44950223067e-251,3.27824077895e-92,2.11310541258e-129,4.58287456665e-30,2.30153731416e-64,-136.799968
8.509014906e-107,9.8413522228e-209,0.0,1.05009539582e-68,2.10452900043e-90,7.15397056311e-296,5.49615891816e-30,0.0,0.0,0.0,8.51734562404e-105,2.74082596575e-181,1.1933952464e-122,1.63767671791e-132,1.63767671791e-132,3.68585396734e-127,1.28127770359e-31,0.0,6.94561761651e-172,1.1896216335e-66,0.0,7.23302745163e-76,2.69519083496e-250,6.84156492716e-92,5.24245364716e-129,5.62428668852e-30,3.68135795733e-64,-136.6399664
1.76129286514e-106,4.13237309828e-208,0.0,1.72516207309e-68,3.9697277099e-90,7.08116189393e-295,6.74121025813e-30,0.0,0.0,0.0,1.79375912462e-104,1.05667976027e-180,2.87806856705e-122,4.34440154097e-132,4.34440154097e-132,9.67368679116e-127,1.58794008635e-31,0.0,2.5827941013e-171,1.92791663774e-66,0.0,1.28911141313e-75,1.62791701422e-249,1.42592200829e-91,1.29876435374e-128,6.90000426676e-30,5.88388960359e-64,-136.4799648
3.64167603441e-106,1.73140574361e-207,0.0,2.83188275068e-68,7.48049219905e-90,6.98179857271e-294,8.26547819745e-30,0.0,0.0,0.0,3.77318666705e-104,4.06480952724e-180,6.93115160438e-122,1.15063308687e-131,1.15063308687e-131,2.53476004579e-126,1.9672997507e-31,0.0,9.58304623719e-171,3.1219087625e-66,0.0,2.29523147224e-75,9.80482060785e-249,2.96798571479e-91,3.21298313452e-128,8.46220817252e-30,9.39696096705e-64,-136.3199632
7.5212232744e-106,7.23856969485e-207,0.0,4.64477684388e-68,1.40819656749e-89,6.85702169137e-293,1.0130937045e-29,0.0,0.0,0.0,7.92750955863e-104,1.56016989134e-179,1.66685218721e-121,3.04262810239e-131,3.04262810239e-131,6.63090212389e-126,2.43642216988e-31,0.0,3.54774390928e-170,5.05131811274e-66,0.0,4.08251908868e-75,5.88859506556e-248,6.16955095245e-91,7.93722800037e-128,1.0374579262e-29,1.49960462024e-63,-136.1599616
1.55164760506e-105,3.01968224041e-206,0.0,7.61199785785e-68,2.64825645686e-89,6.70824859229e-292,1.24131718774e-29,0.0,0.0,0.0,1.66360253284e-103,5.97500766862e-179,4.00291353681e-121,8.0327823746e-131,8.0327823746e-131,1.73180630199e-125,3.01633886171e-31,0.0,1.3104963767e-169,8.16660950684e-66,0.0,7.25430238581e-75,3.52653645853e-247,1.28076962461e-90,1.95799505248e-127,1.27148057635e-29,2.3912916998e-63,-135.99996
