0-Albert 2008,1-Baroudi 2000a,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,11-Makita 1998,12-O'Leary 2002,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,16-Wei 1999,17-Wei 1999,18-Zhang 2008,sum,gauss,x
0.0,0.0,2.93149804465e-08,3.54018511682e-14,0.0,5.03297145448e-77,3.86475903188e-18,1.56421321971e-24,1.33653644908e-50,9.42936817492e-73,5.39217882565e-140,8.14632251178e-59,0.0,0.0,1.52944417088e-80,0.0,1.47850848275e-74,3.00164059538e-158,0.0,2.93150158522e-08,7.09427433859e-14,-137.7599776
0.0,0.0,3.10073404893e-08,4.09413052753e-14,0.0,2.1396873579e-76,4.72221248767e-18,2.00372918836e-24,2.39364623538e-50,2.04731350843e-72,2.28673903568e-139,1.47503656518e-58,0.0,0.0,3.46312638209e-80,0.0,2.99270219721e-74,1.80531631285e-157,0.0,3.10073814353e-08,8.07397154171e-14,-137.599976
0.0,0.0,3.2792441203e-08,4.73265567254e-14,0.0,9.04060080173e-76,5.76653784397e-18,2.56511933807e-24,4.28016606697e-50,4.4368602425e-72,9.66572250561e-139,2.66714054072e-58,0.0,0.0,7.82695237837e-80,0.0,6.04846685435e-74,1.08090380994e-156,0.0,3.27924885353e-08,9.18612376272e-14,-137.4399744
0.0,0.0,3.46750662646e-08,5.46834168105e-14,0.0,3.79634247271e-75,7.03770865874e-18,3.28172059421e-24,7.64157307821e-50,9.59747046818e-72,4.07209066202e-138,4.8160495114e-58,0.0,0.0,1.76565838202e-79,0.0,1.22058837185e-73,6.44258139118e-156,0.0,3.4675120955e-08,1.04482417498e-13,-137.2799728
0.0,0.0,3.6660228853e-08,6.31558942364e-14,0.0,1.58436264122e-74,8.58408360341e-18,4.19586114607e-24,1.36215465347e-49,2.07217990731e-71,1.70988126237e-137,8.68436189685e-58,0.0,0.0,3.97566980988e-79,0.0,2.45943456372e-73,3.82271486252e-155,0.0,3.66602920175e-08,1.18800966965e-13,-137.1199712
0.0,0.0,3.8753181706e-08,7.29087488577e-14,0.0,6.57150619394e-74,1.04641295987e-17,5.36125038335e-24,2.42432903368e-49,4.4656817604e-71,7.15615710113e-137,1.56382017315e-57,0.0,0.0,8.93518551161e-79,0.0,4.94815660929e-73,2.25799523613e-154,0.0,3.87532546252e-08,1.35040047129e-13,-136.9599696
0.0,0.0,4.09594275667e-08,8.41303922081e-14,0.0,2.70892117833e-73,1.27484914619e-17,6.84599457234e-24,4.30802488571e-49,9.60589247956e-71,2.98510201631e-136,2.8121445274e-57,0.0,0.0,2.00440961779e-78,0.0,9.94016793646e-73,1.32774068309e-153,0.0,4.09595117098e-08,1.53451461329e-13,-136.799968
0.0,0.0,4.32847300333e-08,9.70361802495e-14,0.0,1.10981076772e-72,1.55224761676e-17,8.73639955717e-24,7.6433956475e-49,2.0624209437e-70,1.24109174791e-135,5.04998851923e-57,0.0,0.0,4.4880637855e-78,0.0,1.99382082382e-72,7.77217604172e-153,0.0,4.3284827085e-08,1.74319237997e-13,-136.6399664
0.0,0.0,4.5735124825e-08,1.11872149485e-13,0.0,4.51879478084e-72,1.88890328827e-17,1.11417626705e-23,1.35399161404e-48,4.41983989533e-70,5.14297006774e-135,9.05618055116e-57,0.0,0.0,1.00304681132e-77,0.0,3.9931962442e-72,4.52909176644e-152,0.0,4.57352367161e-08,1.97963649473e-13,-136.4799648
0.0,0.0,4.83169314756e-08,1.28919253978e-13,0.0,1.82859455187e-71,2.29723254424e-17,1.42004071345e-23,2.3947881747e-48,9.4542134572e-70,2.1241711401e-134,1.62181637785e-56,0.0,0.0,2.23755140292e-77,0.0,7.98541150289e-72,2.62735487509e-151,0.0,4.83170604179e-08,2.24745718277e-13,-136.3199632
0.0,0.0,5.10367654706e-08,1.48498168002e-13,0.0,7.35416455312e-71,2.79220123175e-17,1.80872760237e-23,4.2290199308e-48,2.0185239552e-69,8.74440793993e-134,2.90041551173e-56,0.0,0.0,4.98212338567e-77,0.0,1.59446895868e-71,1.51727910839e-150,0.0,5.10369139967e-08,2.55072268209e-13,-136.1599616
0.0,0.0,5.39015508397e-08,1.70974727055e-13,0.0,2.93947914695e-70,3.39183709168e-17,2.30234824423e-23,7.45647996762e-48,4.30162007755e-69,3.58787012872e-133,5.17989175446e-56,0.0,0.0,1.10724970994e-76,0.0,3.17890066451e-71,8.72270820242e-150,0.0,5.39017218483e-08,2.8940158418e-13,-135.99996
