0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,3.83553538332e-14,1.78425835671e-31,0.0,1.76171917575e-282,1.26594173017e-57,7.82927020354e-31,4.48147834395e-59,2.741734159e-179,4.14034463294e-292,0.0,1.50071664454e-48,0.0,0.0,3.83553538332e-14,4.04750363483e-39,-136.9599696
0.0,4.13512211129e-14,2.20076442256e-31,0.0,2.19023866128e-281,1.92026784863e-57,9.60559543074e-31,6.76285114929e-59,9.67296188824e-179,3.29549862314e-291,0.0,2.06381264411e-48,0.0,0.0,4.13512211129e-14,5.27358507733e-39,-136.799968
0.0,4.45758145024e-14,2.71355761549e-31,0.0,2.70955939803e-280,2.91077877027e-57,1.17810143046e-30,1.01988501938e-58,3.40601212416e-178,2.61458020325e-290,0.0,2.83681976827e-48,0.0,0.0,4.45758145024e-14,6.86825465625e-39,-136.6399664
0.0,4.80461772586e-14,3.34467720984e-31,0.0,3.33548035512e-279,4.4091602226e-57,1.44442986233e-30,1.5370410063e-58,1.19697610748e-177,2.06765937212e-289,0.0,3.89747310216e-48,0.0,0.0,4.80461772586e-14,8.94146219995e-39,-136.4799648
0.0,5.17805899464e-14,4.12115594043e-31,0.0,4.08573856988e-278,6.67424057017e-57,1.7703764205e-30,2.31490169483e-58,4.1983375465e-177,1.62986716956e-288,0.0,5.35210241075e-48,0.0,0.0,5.17805899464e-14,1.16356975435e-38,-136.3199632
0.0,5.57986577773e-14,5.07613961582e-31,0.0,4.98006759712e-277,1.00959484909e-56,2.16915285939e-30,3.48411522307e-58,1.46967668108e-176,1.28062395446e-287,0.0,7.34607925366e-48,0.0,0.0,5.57986577773e-14,1.51355436795e-38,-136.1599616
0.0,6.01214039281e-14,6.25025508852e-31,0.0,6.04021471536e-276,1.52613056201e-56,2.65686863338e-30,5.24041067612e-58,5.13474443703e-176,1.00296833566e-286,0.0,1.0078054677e-47,0.0,0.0,6.01214039281e-14,1.96800116375e-38,-135.99996
0.0,6.47713692351e-14,7.69328107006e-31,0.0,7.28990707545e-275,2.30534297749e-56,3.25315973637e-30,7.87682131746e-58,1.79047574402e-175,7.82977018683e-286,0.0,1.38193532137e-47,0.0,0.0,6.47713692351e-14,2.55784603444e-38,-135.8399584
0.0,6.97727186854e-14,9.46618809817e-31,0.0,8.75475675043e-274,3.47999562271e-56,3.98195252926e-30,1.18317646465e-57,6.23118477828e-175,6.09266079674e-285,0.0,1.89403774948e-47,0.0,0.0,6.97727186854e-14,3.32311346957e-38,-135.6799568
0.0,7.51513551534e-14,1.16436283171e-30,0.0,1.04620948054e-272,5.24953870847e-56,4.87239120968e-30,1.77607339239e-57,2.16433955771e-174,4.72564590167e-284,0.0,2.59465398617e-47,0.0,0.0,7.51513551534e-14,4.31556503188e-38,-135.5199552
