0-Aiba 2014,1-Amin 2005,2-Bankston 2007a,3-Beckermann 2014,4-Chang 2004,5-Chen 2016,6-Crotti 2012a,7-Glaaser 2012,8-Hayashi 2015,9-Holst 2009,10-Hu 2010,11-Huang 2006,12-Keller 2006,13-Li 2009,14-Liu 2003a,15-Makita 2005,16-Makita 2008,17-Marangoni 2011,18-Medeiros-Domingo 2007,19-Mok 2003,20-O'Leary 2002,21-Olesen 2012,22-Otagiri 2008,23-Rivolta 2001,24-Rossenbacker 2004,25-Ruan 2007,26-Ruan 2010,27-Saber 2015,28-Shy 2014,29-Sottas 2013,31-Tan 2001,32-Tsurugi 2009,33-Vatta 2002a,34-Vatta 2002b,35-Wang 2011,36-Wang 2016,37-Wehrens 2003,38-Winkel 2012,39-Yokoi 2005,sum,gauss,x
1.45373678239e-35,6.6141597215e-24,1.18179355572e-99,0.0,1.19514276697e-32,5.02040214288e-39,4.98514528891e-29,1.74461874566e-14,1.48589524313e-131,8.44023215651e-35,4.98514528891e-29,1.88425521273e-11,2.1229346878e-82,1.9306878876e-20,1.64928062954e-39,1.86517306323e-45,2.93707587347e-22,1.5441414221e-12,5.14218445675e-66,0.0,0.0,5.9312576481e-33,6.12862506949e-26,6.70081443516e-131,0.0,1.14297544747e-273,9.72996419758e-123,3.84560464172e-51,1.29352417384e-20,0.0,1.01324520769e-26,1.9904037997e-88,0.0,0.0,2.88789022361e-64,3.69140755609e-29,5.11149830217e-238,1.39918768001e-15,3.65905637839e-63,2.04055389571e-11,6.18713668023e-07,-138.399984
2.17808666479e-35,8.67911097398e-24,2.95471299435e-99,0.0,2.3766205968e-32,7.90986023991e-39,7.54357614736e-29,1.95333440728e-14,7.50848099815e-131,1.27199687654e-34,7.54357614736e-29,2.27488493296e-11,1.14430865886e-81,2.77586566125e-20,2.53537966263e-39,3.4018461317e-45,3.8571154103e-22,1.78067497615e-12,1.11428646372e-65,0.0,0.0,8.99612016924e-33,8.59298926162e-26,2.32282405475e-130,0.0,1.57555072345e-272,3.37648454971e-122,6.2280849091e-51,1.58472946526e-20,0.0,1.46156648709e-26,6.89515284382e-88,0.0,0.0,7.92546804523e-64,5.67718866944e-29,5.21443206436e-237,1.65151973411e-15,8.85626347251e-63,2.45507092136e-11,6.59805603994e-07,-138.2399824
3.2597325866e-35,1.13797481739e-23,7.37330560665e-99,0.0,4.70949999449e-32,1.24466042459e-38,1.13985110258e-28,2.1864483699e-14,3.77733709284e-130,1.9147480515e-34,1.13985110258e-28,2.74378578501e-11,6.12007496187e-81,3.9842129008e-20,3.89321947615e-39,6.19302422151e-45,5.06107250671e-22,2.05243034569e-12,2.40959294721e-65,0.0,0.0,1.36274520117e-32,1.20352736062e-25,8.030844092e-130,0.0,2.15984920545e-271,1.16840713868e-121,1.00758376119e-50,1.94046584277e-20,0.0,2.10558610753e-26,2.37919937687e-87,0.0,0.0,2.16715449897e-63,8.71780802523e-29,5.29290733426e-236,1.94839538292e-15,2.13745314904e-62,2.95141011346e-11,7.03493126308e-07,-138.0799808
4.87311020325e-35,1.49089448585e-23,1.83646398348e-98,0.0,9.29960751745e-32,1.95607147089e-38,1.71984914653e-28,2.44674333464e-14,1.89186073836e-129,2.87893040608e-34,1.71984914653e-28,3.30606987164e-11,3.24771047136e-80,5.70879372027e-20,5.97162067773e-39,1.1253392635e-44,6.63521411887e-22,2.36449493463e-12,5.19981792802e-65,0.0,0.0,2.0616979052e-32,1.68382963866e-25,2.76925042414e-129,0.0,2.94448960825e-270,4.0318052597e-121,1.62833792347e-50,2.37480064306e-20,0.0,3.02954807719e-26,8.17715089001e-87,0.0,0.0,5.90439690676e-63,1.33663835299e-28,5.34576732041e-235,2.29750224988e-15,5.14407543754e-62,3.54519586682e-11,7.49930964169e-07,-137.9199792
7.2769255661e-35,1.95172224615e-23,4.56536856412e-98,0.0,1.82990824553e-31,3.07022585245e-38,2.59121812786e-28,2.73731112348e-14,9.43327182729e-129,4.32359131573e-34,2.59121812786e-28,3.97965031047e-11,1.71003451427e-79,8.16589674784e-20,9.14940769352e-39,2.04106457911e-44,8.69160102693e-22,2.72266706556e-12,1.11977357828e-64,0.0,0.0,3.11520300401e-32,2.35326488597e-25,9.52400080231e-129,0.0,3.99201508999e-269,1.38733327472e-120,2.62872199453e-50,2.90481580707e-20,0.0,4.35344541485e-26,2.79935141226e-86,0.0,0.0,1.60280958187e-62,2.04622402321e-28,5.37222628024e-234,2.70782334581e-15,1.23447614576e-61,4.25492512165e-11,7.9928245856e-07,-137.7599776
1.08544312778e-34,2.55297147917e-23,1.13277203949e-97,0.0,3.58813589806e-31,4.81290951497e-38,3.89842315459e-28,3.06158605813e-14,4.68279663501e-128,6.48562813637e-34,3.89842315459e-28,4.78573730347e-11,8.93386638647e-79,1.16606064577e-19,1.4002680762e-38,3.69506941172e-44,1.13756725006e-21,3.13355179199e-12,2.40641164061e-64,0.0,0.0,4.70109071085e-32,3.28529189707e-25,3.26687691487e-128,0.0,5.38232447763e-268,4.76033995922e-120,4.23917673938e-50,3.55124247505e-20,0.0,6.2479676218e-26,9.54546442585e-86,0.0,0.0,4.33519894005e-62,3.12769994974e-28,5.37188895378e-233,3.1898498474e-15,2.95408321184e-61,5.10247306904e-11,8.5172000263e-07,-137.599976
1.61727418727e-34,3.33680448568e-23,2.8053202411e-97,0.0,7.01105424834e-31,7.53523561425e-38,5.85659738102e-28,3.42338183396e-14,2.31429123079e-127,9.71747408921e-34,5.85659738102e-28,5.74941764798e-11,4.63106670333e-78,1.66224912367e-19,2.14065577283e-38,6.67699478359e-44,1.48760228183e-21,3.6046691161e-12,5.16068378213e-64,0.0,0.0,7.08535907663e-32,4.58149897297e-25,1.11764087574e-127,0.0,7.21677443119e-267,1.62881231946e-119,6.82896884533e-50,4.33922669534e-20,0.0,8.95560333249e-26,3.24205920082e-85,0.0,0.0,1.16830665171e-61,4.77341980369e-28,5.34476038841e-232,3.75582788412e-15,7.0489981327e-61,6.11368354532e-11,9.07425502239e-07,-137.4399744
2.40700879714e-34,4.35785128112e-23,6.93418809207e-97,0.0,1.36512571237e-30,1.17825080039e-37,8.78563479848e-28,3.82693224291e-14,1.1386768351e-126,1.45428216297e-33,8.78563479848e-28,6.90033091132e-11,2.38193346624e-77,2.36553189128e-19,3.26888713523e-38,1.20429269984e-43,1.9436991678e-21,4.14457614761e-12,1.10444019216e-63,0.0,0.0,1.0665373106e-31,6.38221907489e-25,3.81353676972e-127,0.0,9.6230322141e-266,5.55750717852e-119,1.09891849475e-49,5.29925281044e-20,0.0,1.28203930621e-25,1.09680406854e-84,0.0,0.0,3.1370784733e-61,7.27389154524e-28,5.29124581315e-231,4.42004461154e-15,1.67724580867e-60,7.31905749194e-11,9.66590857436e-07,-137.2799728
3.57840210811e-34,5.68683852058e-23,1.71073223358e-96,0.0,2.64872481923e-30,1.84005336089e-37,1.31604976099e-27,4.27693613377e-14,5.57766883437e-126,2.17389169086e-33,1.31604976099e-27,8.27345744239e-11,1.21558469319e-76,3.36061856773e-19,4.98620874976e-38,2.1680817387e-43,2.53748637551e-21,4.76300491989e-12,2.35871126966e-63,0.0,0.0,1.60339747847e-31,8.88109068694e-25,1.29780593424e-126,0.0,1.27607529738e-264,1.89088418557e-118,1.76649566935e-49,6.46825635494e-20,0.0,1.83298218445e-25,3.69591010191e-84,0.0,0.0,8.3929499183e-61,1.10671718985e-27,5.21214056705e-230,5.19915964195e-15,3.97951992764e-60,8.75455482681e-11,1.02941846568e-06,-137.1199712
5.31395711743e-34,7.41525746497e-23,4.21251739245e-96,2.96439387505e-323,5.12124921387e-30,2.86995349148e-37,1.96853373275e-27,4.77860703599e-14,2.72003647814e-125,3.24579484854e-33,1.96853373275e-27,9.91003560817e-11,6.15528017249e-76,4.76614617848e-19,7.59728516322e-38,3.89593614482e-43,3.30986931681e-21,5.47101777992e-12,5.02695487059e-63,0.0,0.0,2.40745010279e-31,1.23450082634e-24,4.40501842606e-126,0.0,1.68281438918e-263,6.41542950738e-118,2.83658900279e-49,7.89096459597e-20,0.0,2.61737264711e-25,1.24050345933e-83,0.0,0.0,2.23730192555e-60,1.68127646326e-27,5.10861043136e-229,6.11258881183e-15,9.41519460706e-60,1.0462527308e-10,1.09612174766e-06,-136.9599696
