1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Aiba 2014,7-Akai 2000,8-Albert 2008,9-Amin 2005,11-Bankston 2007a,12-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Beckermann 2014,16-Bezzina 2003,17-Calloe 2011,18-Casini 2007,19-Chang 2004,20-Chen 2016,21-Cordeiro 2006,22-Crotti 2012a,23-Deschenes 2000,24-Detta 2014,25-Ellinor 2008,26-Ge 2008,27-Gosselin-Badaroudine 2012,28-Groenewegen 2003a,29-Hayashi 2015,30-Hsueh 2009,31-Hu 2007,34-Huang 2009,35-Itoh 2005a,36-Itoh 2005b,38-Juang 2014a,39-Kato 2014,40-Keller 2005,41-Keller 2006,42-Lin 2008,44-Lupoglazoff 2001,45-Makita 2002,46-Makita 2005,47-Makita 2008,48-Makiyama 2008,49-Marangoni 2011,50-Mohler 2004,51-Mok 2003,52-Moreau 2013,53-Nakajima 2015,54-Neu 2010,55-Nguyen 2008,56-Otagiri 2008,57-Rivolta 2001,58-Rossenbacker 2004,59-Ruan 2007,60-Ruan 2010,61-Saber 2015,62-Samani 2009,63-Shuraih 2007,64-Smits 2005a,65-Smits 2005b,66-Sottas 2013,67-Swan 2014,68-Tan 2001,69-Viswanathan 2003,70-Wang 2002,71-Wang 2007a,72-Wang 2007b,73-Wang 2008,74-Wang 2016,75-Wedekind 2001,76-Wehrens 2003,78-Yang 2002,79-Zeng 2013,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,1.72896958517e-90,0.0,0.0,2.60297369931e-50,0.0,3.58360721088e-131,9.20133855633e-31,2.191587761e-115,0.0,6.96732836213e-33,0.0,1.15647333479e-147,4.1279855736e-64,2.37928078383e-275,0.0,3.83755687613e-19,4.3067583451e-82,0.0,0.0,6.84000112976e-94,5.20859829726e-293,3.20923871904e-32,1.0161263157e-45,1.77825600287e-307,0.0,5.43508258302e-48,5.36735731921e-41,5.19152857239e-54,0.0,4.62208737421e-23,3.22165061543e-47,1.08596622799e-69,0.0,5.31862294104e-33,2.27830044752e-118,1.97403256375e-118,1.77610982155e-47,3.31359088985e-139,5.33149772485e-34,4.06810137078e-293,8.36597945523e-62,1.36268973871e-98,3.21004018582e-228,1.07470501534e-51,0.0,5.88295637634e-109,0.0,0.0,0.0,0.0,2.17586240131e-122,5.01411711292e-94,0.0,1.03818892845e-116,4.16363844588e-28,0.0,1.95902612172e-233,1.93270708063e-177,7.90821345924e-100,4.13061584753e-115,0.0,8.62460435844e-43,0.0,2.72958984274e-86,8.13222421545e-38,0.0,4.25788885514e-22,5.08540304741e-134,3.8422769779e-19,1.64533333395e-21,-138.399984
0.0,0.0,0.0,0.0,0.0,3.37997156743e-90,0.0,0.0,3.64221389655e-50,0.0,8.19156850696e-131,1.14568737229e-30,5.38862062184e-115,0.0,8.62055120966e-33,0.0,3.35035263111e-147,7.1907463252e-64,2.06363213853e-274,0.0,4.37449551649e-19,8.48204978299e-82,0.0,0.0,1.30455325166e-93,6.77022870052e-292,3.94917688473e-32,1.40925289735e-45,1.83735076555e-306,0.0,7.8573883292e-48,7.10137652508e-41,7.59048777927e-54,0.0,5.47394187917e-23,4.46806038783e-47,2.01961853269e-69,0.0,6.73937968045e-33,5.75621002954e-118,5.0432330587e-118,2.56158810285e-47,9.52315779309e-139,6.74927109927e-34,3.69427531897e-292,1.33174597806e-61,2.95142644193e-98,1.6888503308e-227,1.60861244926e-51,0.0,1.34762086304e-108,0.0,0.0,0.0,0.0,4.66256597514e-122,9.58419067029e-94,0.0,2.47365033167e-116,5.01932196575e-28,0.0,9.06739293309e-233,8.02902107007e-177,1.63195162549e-99,1.02229521748e-114,0.0,1.17286576637e-42,0.0,5.23666860428e-86,1.05428333575e-37,0.0,4.98058329449e-22,1.27972181086e-133,4.380023499e-19,1.90947922223e-21,-138.2399824
0.0,0.0,0.0,0.0,0.0,6.60006969609e-90,0.0,0.0,5.09367697664e-50,0.0,1.8702844906e-130,1.42598177937e-30,1.32284830412e-114,0.0,1.06623630661e-32,0.0,9.68956332339e-147,1.2512013551e-63,1.7831921576e-273,0.0,4.98536706799e-19,1.66838094968e-81,0.0,0.0,2.48559920452e-93,8.756656029e-291,4.85810091929e-32,1.95339345929e-45,1.89101634449e-305,0.0,1.13516548631e-47,9.39132598563e-41,1.10910841833e-53,0.0,6.48070346842e-23,6.19335683182e-47,3.75120663885e-69,0.0,8.53611070709e-33,1.45196268652e-117,1.2862972361e-117,3.69199952613e-47,2.7320492286e-138,8.54064747596e-34,3.34255407488e-291,2.11822193403e-61,6.38370814137e-98,8.86163209124e-227,2.40598537101e-51,0.0,3.08266674278e-108,0.0,0.0,0.0,0.0,9.98056887062e-122,1.83010683106e-93,0.0,5.88531813055e-116,6.04894781395e-28,0.0,4.18754538765e-232,3.32702577413e-176,3.36372508848e-99,2.52605595337e-114,0.0,1.59413850411e-42,0.0,1.0035296985e-85,1.36620691861e-37,0.0,5.8242020992e-22,3.2157930272e-133,4.9918393465e-19,2.21548043162e-21,-138.0799808
0.0,0.0,0.0,0.0,0.0,1.28734152314e-89,0.0,0.0,7.11979745553e-50,0.0,4.26522765312e-130,1.77416725913e-30,3.24232223636e-114,0.0,1.31832221554e-32,0.0,2.79754241638e-146,2.17469264208e-63,1.53512337584e-272,0.0,5.68018289264e-19,3.2774322232e-81,0.0,0.0,4.73112085746e-93,1.12700467468e-289,5.97422893933e-32,2.70613885746e-45,1.93867007731e-304,0.0,1.63888707394e-47,1.24140541416e-40,1.61960160112e-53,0.0,7.67015351415e-23,8.58024414372e-47,6.95858990547e-69,0.0,1.08073582197e-32,3.6565159068e-117,3.27530091843e-117,5.31773673723e-47,7.82386788287e-138,1.08031647305e-33,3.01327880318e-290,3.36640989408e-61,1.37885996987e-97,4.63743810118e-226,3.59595250074e-51,0.0,7.0416134654e-108,0.0,0.0,0.0,0.0,2.13413724327e-121,3.49106121654e-93,0.0,1.39820643623e-115,7.28747972881e-28,0.0,1.9296187043e-231,1.37513944861e-175,6.92497202018e-99,6.23181738126e-114,0.0,2.16557089395e-42,0.0,1.9209798483e-85,1.76964746815e-37,0.0,6.80868132209e-22,8.06943134383e-133,5.68775859662e-19,2.56987997792e-21,-137.9199792
0.0,0.0,0.0,0.0,0.0,2.508122908e-89,0.0,0.0,9.94658879082e-50,0.0,9.71562399891e-130,2.2065200529e-30,7.93443484849e-114,0.0,1.62944365639e-32,0.0,8.06320950314e-146,3.7756002397e-63,1.3166419892e-271,0.0,6.47028651989e-19,6.43007899455e-81,0.0,0.0,8.99623175375e-93,1.44332993955e-288,7.34433660314e-32,3.74688169567e-45,1.97978463079e-303,0.0,2.36454602755e-47,1.64022224787e-40,2.3635907009e-53,0.0,9.07498466088e-23,1.18806352457e-46,1.28919944663e-68,0.0,1.36772393708e-32,9.19332610946e-117,8.32604300796e-117,7.65428955219e-47,2.23655685666e-137,1.36595841916e-33,2.70652399991e-289,5.34574200501e-61,2.97422202412e-97,2.42038467509e-225,5.37049501322e-51,0.0,1.60621818943e-107,0.0,0.0,0.0,0.0,4.55854385382e-121,6.65270876625e-93,0.0,3.31697630458e-115,8.77682866486e-28,0.0,8.87193507553e-231,5.66936377242e-175,1.42396681034e-98,1.53494064086e-113,0.0,2.94027108117e-42,0.0,3.67310065308e-85,2.29122731597e-37,0.0,7.95719353149e-22,2.02199509142e-132,6.47915122069e-19,2.98022946378e-21,-137.7599776
0.0,0.0,0.0,0.0,0.0,4.88105423536e-89,0.0,0.0,1.38883602971e-49,0.0,2.21051324091e-129,2.74317763341e-30,1.9386058359e-113,0.0,2.01329214172e-32,0.0,2.32005348699e-145,6.54774210881e-63,1.12504888649e-270,0.0,7.36852769364e-19,1.25992005603e-80,0.0,0.0,1.70891664091e-92,1.83932299121e-287,9.02565373175e-32,5.18500810627e-45,2.01389770252e-302,0.0,3.40922296605e-47,2.16617782329e-40,3.44719798608e-53,0.0,1.0733656197e-22,1.64416785785e-46,2.38543502387e-68,0.0,1.73020172949e-32,2.30765590796e-116,2.11302027954e-116,1.10102149663e-46,6.38210324088e-137,1.72643502786e-33,2.42212269929e-288,8.48192567357e-61,6.40667491877e-97,1.25988968807e-224,8.01482595579e-51,0.0,3.65867346911e-107,0.0,0.0,0.0,0.0,9.72672579068e-121,1.26648364177e-92,0.0,7.85747775092e-115,1.0567216856e-27,0.0,4.07005325326e-230,2.33141139826e-174,2.92459697332e-98,3.77462287076e-113,0.0,3.98998214158e-42,0.0,7.01552684299e-85,2.96524606325e-37,0.0,9.29666488512e-22,5.0594066521e-132,7.37889773474e-19,3.45524230254e-21,-137.599976
0.0,0.0,0.0,0.0,0.0,9.48829618359e-89,0.0,0.0,1.93819768861e-49,0.0,5.02353556542e-129,3.40904487138e-30,4.7290807194e-113,0.0,2.48670302283e-32,0.0,6.66418185631e-145,1.13426509489e-62,9.57754859054e-270,0.0,8.38945872461e-19,2.46554970482e-80,0.0,0.0,3.24298376298e-92,2.33239904294e-286,1.1088176887e-31,7.17114417262e-45,2.04062066861e-301,0.0,4.91215349553e-47,2.85948522009e-40,5.02446773273e-53,0.0,1.26913961082e-22,2.2741500659e-46,4.40822431548e-68,0.0,2.18783431105e-32,5.78312561746e-116,5.35360411182e-116,1.58270351566e-46,1.81791324958e-136,2.1811688021e-33,2.15969333614e-287,1.34470307068e-60,1.37815502165e-96,6.54067404253e-224,1.19523494307e-50,0.0,8.32203457694e-107,0.0,0.0,0.0,0.0,2.07321313451e-120,2.40857782048e-92,0.0,1.8586331105e-114,1.27188064417e-27,0.0,1.86301653795e-229,9.56314001597e-174,5.99951993634e-98,9.26745879648e-113,0.0,5.41156829818e-42,0.0,1.33845937165e-84,3.83587492763e-37,0.0,1.08583734422e-21,1.26415813072e-131,8.40158625042e-19,4.00496986994e-21,-137.4399744
0.0,0.0,0.0,0.0,0.0,1.84235201639e-88,0.0,0.0,2.7034320237e-49,0.0,1.14030172396e-128,4.2349105186e-30,1.15180147895e-112,0.0,3.07037003879e-32,0.0,1.91097265093e-144,1.96270491619e-62,8.12300294436e-269,0.0,9.54955594888e-19,4.81868599755e-80,0.0,0.0,6.14797823172e-92,2.94306724767e-285,1.36174881529e-31,9.91258725976e-45,2.05964595128e-300,0.0,7.0728971655e-47,3.7729752015e-40,7.31886565199e-53,0.0,1.50013745632e-22,3.14382641877e-46,8.13595229459e-68,0.0,2.76535893375e-32,1.44692955319e-115,1.35414887379e-115,2.27361116458e-46,5.16901665978e-136,2.75457495364e-33,1.91866753906e-286,2.1301186635e-60,2.96053048155e-96,3.38652549667e-223,1.78111464233e-50,0.0,1.89026256705e-106,0.0,0.0,0.0,0.0,4.41426065256e-120,4.57595564542e-92,0.0,4.3900947946e-114,1.53036433218e-27,0.0,8.50879793931e-229,3.91272316233e-173,1.22928134436e-97,2.27170992556e-112,0.0,7.33574031128e-42,0.0,2.55074788989e-84,4.95997261591e-37,0.0,1.26786412553e-21,3.15417323009e-131,9.56373474294e-19,4.641003961e-21,-137.2799728
0.0,0.0,0.0,0.0,0.0,3.57327775928e-88,0.0,0.0,3.76880027153e-49,0.0,2.58537782478e-128,5.25882226757e-30,2.80086534769e-112,0.0,3.78972057868e-32,0.0,5.47042278954e-144,3.39244561337e-62,6.86369748855e-268,0.0,1.0867469438e-18,9.40562336138e-80,0.0,0.0,1.16434992471e-91,3.69530247381e-284,1.67181897308e-31,1.36944674555e-44,2.070752911e-299,0.0,1.01772782671e-46,4.97602311543e-40,1.0654360029e-52,0.0,1.77260776876e-22,4.34374651203e-46,1.49969075555e-67,0.0,3.49387998219e-32,3.61430947105e-115,3.41951210371e-115,3.26396638016e-46,1.46712850867e-135,3.47733226373e-33,1.69831818168e-285,3.37152718125e-60,6.35107268547e-96,1.74875130343e-222,2.65222200264e-50,0.0,4.28747406125e-106,0.0,0.0,0.0,0.0,9.38877084427e-120,8.68486265709e-92,0.0,1.03543739405e-113,1.84079764852e-27,0.0,3.87752487581e-228,1.5968154866e-172,2.51576688442e-97,5.55968520683e-112,0.0,9.93878660799e-42,0.0,4.85564938849e-84,6.41069713683e-37,0.0,1.47996346859e-21,7.85872343147e-131,1.08840416989e-18,5.37670941856e-21,-137.1199712
0.0,0.0,0.0,0.0,0.0,6.92262361818e-88,0.0,0.0,5.2512304417e-49,0.0,5.85493660404e-128,6.52777959216e-30,6.80018179048e-112,0.0,4.67598741759e-32,0.0,1.56331358916e-143,5.8571752486e-62,5.77801858451e-267,0.0,1.23643044914e-18,1.8335410292e-79,0.0,0.0,2.20291819093e-91,4.61691921919e-283,2.051808743e-31,1.89087503726e-44,2.07381210564e-298,0.0,1.46343974346e-46,6.55968781775e-40,1.5500326305e-52,0.0,2.09389152582e-22,5.99841986701e-46,2.76085532141e-67,0.0,4.41249116618e-32,9.0135624472e-115,8.62063882626e-115,4.68261031744e-46,4.15674925746e-135,4.38797419219e-33,1.49778708466e-284,5.33205965765e-60,1.36060076372e-95,9.00624196975e-222,3.9464561389e-50,0.0,9.71108220718e-106,0.0,0.0,0.0,0.0,1.99478570769e-119,1.64666073145e-91,0.0,2.43861651741e-113,2.21350244164e-27,0.0,1.76309558008e-227,6.50020956548e-172,5.14249427381e-97,1.35847810712e-111,0.0,1.34583369157e-41,0.0,9.23303634514e-84,8.28213645047e-37,0.0,1.72702895688e-21,1.95524324027e-130,1.23836686947e-18,6.22749135904e-21,-136.9599696
