0-Albert 2008,2-Bezzina 2003,3-Bezzina 2003,4-Ellinor 2008,5-Gosselin-Badaroudine 2012,6-Groenewegen 2003a,7-Groenewegen 2003a,8-Groenewegen 2003b,9-Guetter 2013,10-Gui 2010a,13-Rook 1999,14-Surber 2008,15-Vatta 2002b,18-Zhang 2008,sum,gauss,x
0.0,7.8080541732e-14,7.26448045233e-31,0.0,4.09869359255e-282,1.37445102133e-57,1.59381572001e-30,9.12300948589e-59,5.44525599523e-180,3.06493044257e-292,0.0,9.05194166548e-49,0.0,0.0,7.8080541732e-14,4.58836207209e-25,-136.9599696
0.0,8.41792715512e-14,8.960255149e-31,0.0,5.09565729359e-281,2.08486223566e-57,1.95542478412e-30,1.37672326968e-58,1.92111089766e-179,2.43952495479e-291,0.0,1.24483937264e-48,0.0,0.0,8.41792715512e-14,5.41496208293e-25,-136.799968
0.0,9.07436223798e-14,1.10480560059e-30,0.0,6.30387288521e-280,3.16027409343e-57,2.398277912e-30,2.07619450373e-58,6.76455369606e-179,1.93546846214e-290,0.0,1.71109763801e-48,0.0,0.0,9.07436223798e-14,6.38881334013e-25,-136.6399664
0.0,9.78082894193e-14,1.36176143543e-30,0.0,7.76009715273e-279,4.78708824168e-57,2.94044650547e-30,3.12897633426e-58,2.37726962114e-178,1.53060498975e-289,0.0,2.35085679178e-48,0.0,0.0,9.78082894193e-14,7.53584609831e-25,-136.4799648
0.0,1.05410486677e-13,1.67789920432e-30,0.0,9.50559585645e-278,7.24631833333e-57,3.60398057031e-30,4.71247845019e-58,8.33816167771e-178,1.2065250476e-288,0.0,3.22825224776e-48,0.0,0.0,1.05410486677e-13,8.88650280337e-25,-136.3199632
0.0,1.13590124761e-13,2.06671398644e-30,0.0,1.15862797157e-276,1.09613155045e-56,4.41577546376e-30,7.09266313268e-58,2.91887006348e-177,9.47994355899e-288,0.0,4.43096843872e-48,0.0,0.0,1.13590124761e-13,1.04765136946e-24,-136.1599616
0.0,1.22390000854e-13,2.54474671461e-30,0.0,1.40527444398e-275,1.65694175304e-56,5.40862543224e-30,1.06679788764e-57,1.01979244917e-176,7.42457079643e-287,0.0,6.07882663058e-48,0.0,0.0,1.22390000854e-13,1.23478040466e-24,-135.99996
0.0,1.31856001657e-13,3.13226443567e-30,0.0,1.69601919714e-274,2.50294380413e-56,6.62250374903e-30,1.6034957682e-57,3.55599712228e-176,5.7960636448e-286,0.0,8.33548289083e-48,0.0,0.0,1.31856001657e-13,1.45495551032e-24,-135.8399584
0.0,1.42037320181e-13,3.85409086854e-30,0.0,2.03682095826e-273,3.7782809618e-56,8.10611764885e-30,2.40860923161e-57,1.23755237757e-175,4.51015149888e-285,0.0,1.14243546794e-47,0.0,0.0,1.42037320181e-13,1.71394443984e-24,-135.6799568
0.0,1.52986687277e-13,4.74062010055e-30,0.0,2.4340383833e-272,5.6994991692e-56,9.91879639114e-30,3.61557797737e-57,4.29851410416e-175,3.49820540773e-284,0.0,1.56502938849e-47,0.0,0.0,1.52986687277e-13,2.01850953998e-24,-135.5199552
0.0,1.6476061889e-13,5.82905335678e-30,0.0,2.8943727848e-271,8.59168672652e-56,1.21327830238e-29,5.42377888078e-57,1.49013529852e-174,2.70455411155e-283,0.0,2.14290650422e-47,0.0,0.0,1.6476061889e-13,2.3765771335e-24,-135.3599536
0.0,1.77419680068e-13,7.16490738651e-30,0.0,3.42479030511e-270,1.29425385003e-55,1.48360151975e-29,8.13090854776e-57,5.15567613087e-174,2.08421364612e-282,0.0,2.93274197494e-47,0.0,0.0,1.77419680068e-13,2.79743537896e-24,-135.199952
0.0,1.91028766806e-13,8.80385345358e-30,0.0,4.03242205053e-269,1.94831777027e-55,1.81354982181e-29,1.21811708478e-56,1.78032025455e-173,1.60097660947e-281,0.0,4.01175491506e-47,0.0,0.0,1.91028766806e-13,3.29196533192e-24,-135.0399504
0.0,2.05657406911e-13,1.08139585811e-29,0.0,4.72444124681e-268,2.93088927419e-55,2.21613950422e-29,1.82369349901e-56,6.13568728139e-173,1.2258121747e-280,0.0,5.4851036402e-47,0.0,0.0,2.05657406911e-13,3.87291070483e-24,-134.879948799
0.0,2.2138008112e-13,1.32784160503e-29,0.0,5.50791716332e-267,4.40593742953e-55,2.7071983878e-29,2.72852239599e-56,2.11047824552e-172,9.35532901707e-280,0.0,7.49592424267e-47,0.0,0.0,2.2138008112e-13,4.55519272049e-24,-134.719947199
0.0,2.38276565778e-13,1.62988707524e-29,0.0,6.38964637728e-266,6.61875846292e-55,3.30596653423e-29,4.07958562847e-56,7.24521240763e-172,7.11689228733e-279,0.0,1.02389505555e-46,0.0,0.0,2.38276565778e-13,5.35627749613e-24,-134.559945599
0.0,2.56432298492e-13,1.99994675212e-29,0.0,7.37596289387e-265,9.9360560797e-55,4.03582388367e-29,6.09561376237e-56,2.48241246713e-171,5.39657120637e-278,0.0,1.39789840411e-46,0.0,0.0,2.56432298492e-13,6.29660460473e-24,-134.399943999
0.0,2.75938768231e-13,2.45317778483e-29,0.0,8.47252968047e-264,1.49056469025e-54,4.92517132402e-29,9.10189216853e-56,8.48885947622e-171,4.07888651714e-277,0.0,1.90759281788e-46,0.0,0.0,2.75938768231e-13,7.4000868636e-24,-134.239942399
0.0,2.96893931465e-13,3.00807933993e-29,0.0,9.68411527857e-263,2.23453374681e-54,6.00849717337e-29,1.35818455858e-55,2.89719231303e-170,3.07299267479e-276,0.0,2.60187036425e-46,0.0,0.0,2.96893931465e-13,8.69469302813e-24,-134.079940799
0.0,3.19402656012e-13,3.68722146901e-29,0.0,1.10143602836e-261,3.34751321821e-54,7.32766764414e-29,2.02534377066e-55,9.86865310553e-170,2.30769080318e-275,0.0,3.54711718627e-46,0.0,0.0,3.19402656012e-13,1.02131269565e-23,-133.919939199
0.0,3.43577194368e-13,4.51813115903e-29,0.0,1.24655395813e-260,5.01137586413e-54,8.93348778574e-29,3.01822467938e-55,3.35498838928e-169,1.72738802801e-274,0.0,4.83342879263e-46,0.0,0.0,3.43577194368e-13,1.19936189998e-23,-133.759937599
0.0,3.69537688427e-13,5.53436907251e-29,0.0,1.40383272406e-259,7.49705932046e-54,1.0887588939e-28,4.49487108721e-55,1.13835242999e-168,1.28883815083e-273,0.0,6.58301764857e-46,0.0,0.0,3.69537688427e-13,1.40808479073e-23,-133.599935999
0.0,3.97412707587e-13,6.77683754261e-29,0.0,1.57315718308e-258,1.12078990663e-53,1.3264710206e-28,6.68953257472e-55,3.85491703409e-168,9.58524135294e-273,0.0,8.96158070444e-46,0.0,0.0,3.97412707587e-13,1.65270144783e-23,-133.439934399
0.0,4.2733982237e-13,8.29536891521e-29,0.0,1.75420905906e-257,1.67439056837e-53,1.61554552253e-28,9.94917712048e-55,1.3028844817e-167,7.10565167362e-272,0.0,1.21936612924e-45,0.0,0.0,4.2733982237e-13,1.93930915912e-23,-133.279932799
0.0,4.59466215823e-13,1.0150653627e-28,0.0,1.94644912687e-256,2.49970420394e-53,1.96696221153e-28,1.47873859974e-54,4.39490372995e-167,5.2505036808e-271,0.0,1.65833986394e-45,0.0,0.0,4.59466215823e-13,2.27502791883e-23,-133.119931199
0.0,4.93949335105e-13,1.24165798389e-28,0.0,2.14910305344e-255,3.72923512375e-53,2.39402243487e-28,2.19638522665e-54,1.47960367211e-166,3.86717844346e-270,0.0,2.25425405838e-45,0.0,0.0,4.93949335105e-13,2.66816973512e-23,-132.959929599
0.0,5.30957585791e-13,1.51830714447e-28,0.0,2.36115175693e-254,5.5596852439e-53,2.91283442296e-28,3.26015670529e-54,4.97157521024e-166,2.83911934537e-269,0.0,3.06282431401e-45,0.0,0.0,5.30957585791e-13,3.12843558893e-23,-132.799927999
