1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,13-Detta 2014,14-Huang 2009,15-Itoh 2005a,16-Itoh 2005b,18-Lin 2008,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,32-Wang 2007b,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,7.49456315737e-131,1.08765822609e-30,1.19167584504e-114,2.09610791931e-147,2.34179985015e-81,0.0,1.64184786362e-47,5.83700108464e-41,6.7211753839e-54,0.0,7.61052953734e-33,4.76471487823e-118,3.91688053556e-139,1.58002151455e-292,2.84985594393e-98,2.43487855038e-51,0.0,3.13619572135e-116,1.25776578053e-27,1.9545868493e-99,7.01881989717e-115,0.0,4.6896286199e-42,0.0,3.15849779797e-37,1.65373361785e-21,1.65373487671e-21,1.87347573368e-20,-138.399984
0.0,0.0,0.0,0.0,0.0,0.0,1.7131405291e-130,1.35427719279e-30,2.93006246312e-114,6.07251414389e-147,4.6121145695e-81,0.0,2.37358605778e-47,7.72274697102e-41,9.82697078566e-54,0.0,9.64352026644e-33,1.2038227706e-117,1.12569935869e-138,1.43483014621e-291,6.17245433769e-98,3.64451258036e-51,0.0,7.47248537691e-116,1.51625351049e-27,4.03351680164e-99,1.73710320158e-114,0.0,6.37745760464e-42,0.0,4.09476117009e-37,1.93442297598e-21,1.9344244936e-21,2.15372300681e-20,-138.2399824
0.0,0.0,0.0,0.0,0.0,0.0,3.91141227601e-130,1.68560346202e-30,7.19298765367e-114,1.75623335237e-146,9.07182141387e-81,0.0,3.4291457399e-47,1.02130670094e-40,1.43589929159e-53,0.0,1.22145005184e-32,3.03655657997e-117,3.22946036533e-138,1.2982241273e-290,1.33505434687e-97,5.45106060619e-51,0.0,1.7778565186e-115,1.8272863188e-27,8.31375234938e-99,4.29232163952e-114,0.0,8.66812811612e-42,0.0,5.30625008568e-37,2.26207849388e-21,2.26208032287e-21,2.47531995875e-20,-138.0799808
0.0,0.0,0.0,0.0,0.0,0.0,8.92006744764e-130,2.09718140685e-30,1.76301271602e-113,5.07054562969e-146,1.78210377136e-80,0.0,4.95080470254e-47,1.3500283879e-40,2.09680564431e-53,0.0,1.54644764e-32,7.64704047817e-117,9.2483220898e-138,1.17033596373e-289,2.88367349468e-97,8.14707988449e-51,0.0,4.22374860945e-115,2.20142616808e-27,1.71156978908e-98,1.05892209408e-113,0.0,1.17752917358e-41,0.0,6.87318436292e-37,2.64444319206e-21,2.6444453956e-21,2.84428139815e-20,-137.9199792
0.0,0.0,0.0,0.0,0.0,0.0,2.03187328823e-129,2.60825060601e-30,4.31434894887e-113,1.46145672244e-145,3.49635545329e-80,0.0,7.14289945824e-47,1.78374169456e-40,3.06000581813e-53,0.0,1.95710497575e-32,1.92264272001e-116,2.64375606697e-137,1.05119458925e-288,6.22012779083e-97,1.21675277643e-50,0.0,1.00200325867e-114,2.65133365918e-27,3.51946342329e-98,2.60819991708e-113,0.0,1.59877240039e-41,0.0,8.89896323612e-37,3.09051713053e-21,3.0905197845e-21,3.26748422456e-20,-137.7599776
0.0,0.0,0.0,0.0,0.0,0.0,4.62294836441e-129,3.24261486558e-30,1.05411692327e-112,4.20509694517e-145,6.85081530466e-80,0.0,1.02986943766e-46,2.35571838283e-40,4.46289024983e-53,0.0,2.47578208002e-32,4.82610730751e-116,7.54406225484e-137,9.40735155527e-288,1.33985749503e-96,1.81585900561e-50,0.0,2.37361307059e-114,3.19218009193e-27,7.22840729201e-98,6.41390995617e-113,0.0,2.16955278949e-41,0.0,1.15168039064e-36,3.61075823663e-21,3.61076143208e-21,3.75278910498e-20,-137.599976
0.0,0.0,0.0,0.0,0.0,0.0,1.05059517835e-128,4.02971336698e-30,2.57143764118e-112,1.20788296146e-144,1.340642652e-79,0.0,1.48387970177e-46,3.10969017685e-40,6.50489126112e-53,0.0,3.13061817535e-32,1.20945175173e-115,2.14889202056e-136,8.38809465374e-287,2.88219920393e-96,2.7079541679e-50,0.0,5.61462085463e-114,3.84213944593e-27,1.48283589336e-97,1.57474397518e-112,0.0,2.94254026213e-41,0.0,1.48982642279e-36,4.21731468512e-21,4.21731853132e-21,4.30917905093e-20,-137.4399744
0.0,0.0,0.0,0.0,0.0,0.0,2.38476562463e-128,5.0059404228e-30,6.26292054178e-112,3.46363792981e-144,2.62016051117e-79,0.0,2.13660435208e-46,4.10311053163e-40,9.47531713874e-53,0.0,3.95701031639e-32,3.02603055596e-115,6.11011480164e-136,7.45196767404e-286,6.19149403593e-96,4.03533786153e-50,0.0,1.3261744692e-113,4.6229755868e-27,3.03828059544e-97,3.86013210008e-112,0.0,3.98880879426e-41,0.0,1.92641793564e-36,4.92429370184e-21,4.92429832986e-21,4.94691720453e-20,-137.2799728
0.0,0.0,0.0,0.0,0.0,0.0,5.40691997009e-128,6.21627088694e-30,1.5229705328e-111,9.91514130604e-144,5.11430770275e-79,0.0,3.07438614317e-46,5.41142513803e-40,1.3793591109e-52,0.0,4.99946642188e-32,7.5587722111e-115,1.73424157954e-135,6.59614650921e-285,1.32822914336e-95,6.00894047473e-50,0.0,3.12788379454e-113,5.56074289656e-27,6.21794656093e-97,9.44712134755e-112,0.0,5.40421521809e-41,0.0,2.48986897725e-36,5.74807240033e-21,5.74807796734e-21,5.67772645171e-20,-137.1199712
0.0,0.0,0.0,0.0,0.0,0.0,1.22446991479e-127,7.71626120269e-30,3.69759884857e-111,2.83350588035e-143,9.96987934629e-79,0.0,4.42080755836e-46,7.13366050181e-40,2.00673867342e-52,0.0,6.31392650424e-32,1.88504791564e-114,4.91354871467e-135,5.81729805202e-284,2.84548717412e-95,8.9411896897e-50,0.0,7.36665406301e-113,6.68662195912e-27,1.27101420972e-96,2.30835147108e-111,0.0,7.31797069793e-41,0.0,3.21672263925e-36,6.70765710929e-21,6.7076638037e-21,6.51499383167e-20,-136.9599696
0.0,0.0,0.0,0.0,0.0,0.0,2.76974785978e-127,9.57451190857e-30,8.96317300357e-111,8.08366147248e-143,1.94105143312e-78,0.0,6.3526319853e-46,9.39973398202e-40,2.91765658045e-52,0.0,7.97066913506e-32,4.69339079841e-114,1.38965305072e-134,5.11168436458e-283,6.08760325855e-95,1.32945034958e-49,0.0,1.73244581643e-112,8.03791600319e-27,2.59500465916e-96,5.63131073105e-111,0.0,9.90415227516e-41,0.0,4.15395586206e-36,7.82509862216e-21,7.82510666973e-21,7.4740031081e-20,-136.799968
0.0,0.0,0.0,0.0,0.0,0.0,6.25786645463e-127,1.18756967979e-29,2.16928922468e-110,2.30224165094e-142,3.77422924881e-78,0.0,9.12251685596e-46,1.23800110636e-39,4.2394293672e-52,0.0,1.00579491221e-31,1.16665978697e-113,3.92322261121e-134,4.4752616737e-282,1.30059515075e-94,1.97527853147e-49,0.0,4.06835427021e-112,9.65923863189e-27,5.29188250812e-96,1.37158322056e-110,0.0,1.33971544562e-40,0.0,5.3619317297e-36,9.12597191856e-21,9.12598158977e-21,8.5721993167e-20,-136.6399664
