0-Abe 2014,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,10-Hu 2014,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Liu 2005,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
1.2033015562e-28,8.93931180614e-30,0.0,4.21431801524e-250,0.0,1.53751402838e-57,3.07043441907e-139,2.4750292201e-45,6.46152070294e-80,4.94249914894e-34,1.1807724977e-18,1.22753487997e-96,4.08219428099e-102,0.0,1.30186453255e-120,6.33762910232e-215,1.09886741604e-114,1.41751723535e-120,5.45349169968e-101,1.75978535352e-97,2.33638760933e-112,0.0,1.09886741604e-114,9.32555412237e-268,1.75978535352e-97,2.73806059035e-257,1.73157994571e-49,1.30186453255e-120,0.0,2.81916843376e-51,1.30186453255e-120,7.17603404637e-93,1.29459177297e-105,1.24508007685e-24,3.30866740745e-34,8.01610854063e-101,3.69968267321e-21,0.0,3.12480614205e-39,5.46154020033e-31,6.2168685545e-28,4.32174814361e-44,9.36791736631e-31,5.75518900546e-47,5.42833822696e-17,9.04615760877e-37,5.59215207266e-55,5.4175150725e-195,5.44528630561e-35,5.54678556958e-17,1.78343404897e-17,-138.399984
1.69433334117e-28,1.40258693389e-29,0.0,8.41076168853e-249,0.0,3.03832494487e-57,1.38613788713e-138,4.04854610632e-45,2.81563346858e-79,8.11300499021e-34,1.43048400464e-18,3.93091079832e-96,1.68887613406e-101,0.0,5.67581223794e-120,8.34668713255e-214,4.61364966312e-114,6.15288560414e-120,1.99094750916e-100,5.58136757746e-97,9.66271230438e-112,0.0,4.61364966312e-114,2.69579618689e-266,5.58136757746e-97,8.5611780625e-256,3.16088934875e-49,5.67581223794e-120,0.0,5.12746320743e-51,5.67581223794e-120,2.11576560368e-92,4.65826576381e-105,1.81119712667e-24,4.76355149804e-34,3.15610531927e-100,4.82556887287e-21,0.0,4.74065969771e-39,7.49573296008e-31,8.23745382173e-28,7.26867723875e-44,1.31226472463e-30,9.85675491561e-47,6.35476671857e-17,1.37590236362e-36,1.09161836745e-54,4.52362122299e-194,8.38894295297e-35,6.49829785714e-17,2.17790670941e-17,-138.2399824
2.38333257768e-28,2.19697196327e-29,0.0,1.66537415192e-247,0.0,5.99296763597e-57,6.23496124521e-138,6.61406198585e-45,1.21937873306e-78,1.32942943493e-33,1.73209298278e-18,1.25481564187e-95,6.95619408851e-101,0.0,2.4645909564e-119,1.09178370243e-212,1.9292945467e-113,2.66006421342e-119,7.24142839389e-100,1.76475830418e-96,3.98022670927e-111,0.0,1.9292945467e-113,7.72069674991e-265,1.76475830418e-96,2.64979353925e-254,5.76016372628e-49,2.4645909564e-119,0.0,9.31054310516e-51,2.4645909564e-119,6.22035632161e-92,1.67033279043e-104,2.63089718346e-24,6.85176170574e-34,1.23743584557e-99,6.28856102968e-21,0.0,7.18441194085e-39,1.02793495637e-30,1.09070037681e-27,1.22073398113e-43,1.8365596435e-30,1.68569129537e-46,7.43619558661e-17,2.09027154426e-36,2.12686706732e-54,3.75793016661e-193,1.29073728294e-34,7.61003400422e-17,2.65814201048e-17,-138.0799808
3.34912884385e-28,3.43548663622e-29,0.0,3.27157424398e-246,0.0,1.1798919182e-56,2.79435641189e-137,1.0791649813e-44,5.248343269e-78,2.17468943544e-33,2.09619083535e-18,3.99295160241e-95,2.85243230946e-100,0.0,1.06589956946e-118,1.41838534869e-211,8.03539195574e-113,1.14542903521e-118,2.62402487567e-99,5.56280102111e-96,1.63294356656e-110,0.0,8.03539195574e-113,2.19070029724e-263,5.56280102111e-96,8.11855196906e-253,1.04789833933e-48,1.06589956946e-118,0.0,1.68786773392e-50,1.06589956946e-118,1.82359176619e-91,5.96855329874e-104,3.81602973607e-24,9.84616865772e-34,4.8314468301e-99,8.18790434493e-21,0.0,1.0876280866e-38,1.4085417411e-30,1.44314209744e-27,2.04718175397e-43,2.56799277888e-30,2.87866978256e-46,8.69802145798e-17,3.17182651304e-36,4.13606647008e-54,3.10590054965e-192,1.98341028304e-34,8.90845971373e-17,3.24245362429e-17,-137.9199792
4.70154368168e-28,5.36316347913e-29,0.0,6.37632155198e-245,0.0,2.3186494898e-56,1.24781601129e-136,1.75856262873e-44,2.24505490839e-77,3.5512202327e-33,2.53548971337e-18,1.26658854591e-94,1.16447123994e-99,0.0,4.59137038707e-118,1.83015141948e-210,3.33326775346e-112,4.9125506631e-118,9.47307404421e-99,1.74809688848e-95,6.67250869243e-110,0.0,3.33326775346e-112,6.15837983799e-262,1.74809688848e-95,2.4622556608e-251,1.90310287581e-48,4.59137038707e-118,0.0,3.05487004989e-50,4.59137038707e-118,5.33095026566e-91,2.12531090711e-103,5.52699845576e-24,1.4135980107e-33,1.87851654164e-98,1.06515536573e-20,0.0,1.64477442945e-38,1.92852985033e-30,1.90811211994e-27,3.42816320292e-43,3.5874655425e-30,4.90880039202e-46,1.01697113039e-16,4.80737241013e-36,8.02809167947e-54,2.55389332834e-191,3.04390685121e-34,1.04243259835e-16,3.95299308538e-17,-137.7599776
6.59341647803e-28,8.35839382271e-29,0.0,1.23296886055e-243,0.0,4.5480010588e-56,5.55187942228e-136,2.86205679376e-44,9.54449205353e-77,5.78903766635e-33,3.06523875131e-18,4.00501782948e-94,4.7327324127e-99,0.0,1.96980382604e-117,2.34538944601e-209,1.37717123077e-111,2.09849860162e-117,3.40716521142e-98,5.47647559233e-95,2.71557452688e-109,1.97626258336e-323,1.37717123077e-111,1.71516935677e-260,5.47647559233e-95,7.39223467148e-250,3.45035807593e-48,1.96980382604e-117,1.97626258336e-323,5.51998635065e-50,1.96980382604e-117,1.55398308725e-90,7.54159473085e-103,7.99349403096e-24,2.02758100739e-33,7.27337785378e-98,1.38443279128e-20,0.0,2.48467173913e-38,2.63836918967e-30,2.5210986906e-27,5.73239745616e-43,5.0071068306e-30,8.35850516118e-46,1.18854397023e-16,7.27776006168e-36,1.55530220609e-53,2.08926885083e-190,4.66545760897e-34,1.21933488099e-16,4.81653836154e-17,-137.599976
9.2372342375e-28,1.30044996584e-28,0.0,2.36538846964e-242,0.0,8.90427560533e-56,2.46121873641e-135,4.65210027754e-44,4.03273600662e-76,9.42070818876e-33,3.70372029356e-18,1.26241090922e-93,1.9149828876e-98,0.0,8.41701750315e-117,2.98523185387e-208,5.6670923285e-111,8.92838919745e-117,1.22088492266e-97,1.71041105804e-94,1.10075054692e-108,1.27468936627e-321,5.6670923285e-111,4.73265207781e-259,1.71041105804e-94,2.19688021449e-248,6.24489096655e-48,8.41701750315e-117,1.27468936627e-321,9.95804766273e-50,8.41701750315e-117,4.51702603381e-90,2.66680484378e-102,1.15439300235e-23,2.90552179872e-33,2.80440403339e-97,1.79783368757e-20,0.0,3.74945752653e-38,3.60659457869e-30,3.32864105789e-27,9.57151796861e-43,6.9821818472e-30,1.42118814484e-45,1.38848234137e-16,1.10047283122e-35,3.00742567746e-53,1.70044376057e-189,7.14169385511e-34,1.42569944316e-16,5.86544112683e-17,-137.4399744
1.29281034248e-27,2.01991683189e-28,0.0,4.50216400433e-241,0.0,1.74007998413e-55,1.08712908626e-134,7.55214465168e-44,1.69343247411e-75,1.53041472264e-32,4.47284114568e-18,3.96665483663e-93,7.71414163255e-98,0.0,3.58218564926e-116,3.77377779461e-207,2.32266855628e-110,3.78355742495e-116,4.3584848922e-97,5.3255383618e-94,4.44396571225e-108,7.61058720854e-320,2.32266855628e-110,1.29377626669e-257,5.3255383618e-94,6.46286435644e-247,1.12835132017e-47,3.58218564926e-116,7.61058720854e-320,1.79349979355e-49,3.58218564926e-116,1.30925291089e-89,9.39737602369e-102,1.66471707753e-23,4.15971614841e-33,1.07678332943e-96,2.33263006704e-20,0.0,5.65203183857e-38,4.92619548458e-30,4.39172610398e-27,1.59586100234e-42,9.72748640716e-30,2.41292740473e-45,1.62137677388e-16,1.66208236556e-35,5.80433766803e-53,1.37691326617e-188,1.09182316071e-33,1.66633861487e-16,7.13876398398e-17,-137.2799728
1.8075448944e-27,3.13214855211e-28,0.0,8.50175559917e-240,0.0,3.39416077294e-55,4.7844578641e-134,1.22445250527e-43,7.06735803395e-75,2.48189340879e-32,5.39883664366e-18,1.24244013335e-92,3.09371343168e-97,0.0,1.51842223572e-115,4.73816018866e-206,9.48131987427e-110,1.59694637797e-115,1.55015682317e-96,1.65306610759e-93,1.78692816779e-107,4.49512288096e-318,9.48131987427e-110,3.50405419199e-256,1.65306610759e-93,1.88205250779e-245,2.03527272142e-47,1.51842223572e-115,4.49512288096e-318,3.22492333689e-49,1.51842223572e-115,3.78406991116e-89,3.29996474091e-101,2.39715934059e-23,5.94972494332e-33,4.11717541193e-96,3.02385487025e-20,0.0,8.51093951674e-38,6.72323846699e-30,5.79021500213e-27,2.65692334046e-42,1.35398947535e-29,4.09078499754e-45,1.89254412167e-16,2.50736398451e-35,1.11811915248e-52,1.10924444727e-187,1.66704555596e-33,1.94683511339e-16,8.68364489469e-17,-137.1199712
2.52467094198e-27,4.84864332859e-28,0.0,1.5928115257e-238,0.0,6.60827624269e-55,2.09799799404e-133,1.98273193097e-43,2.93134828395e-74,4.01795921137e-32,6.5131085879e-18,3.87930493723e-92,1.23521432928e-96,0.0,6.41049588774e-115,5.90851457305e-205,3.85482762565e-109,6.713409285e-115,5.49281540803e-96,5.11541189043e-93,7.15645749039e-107,2.62479770516e-316,3.85482762565e-109,9.40241639685e-255,5.11541189043e-93,5.42533377478e-244,3.66487926201e-47,6.41049588774e-115,2.62479770516e-316,5.78933115893e-49,6.41049588774e-115,1.09058470731e-88,1.15478017471e-100,3.4468555985e-23,8.50205119407e-33,1.56766666909e-95,3.91646938716e-20,0.0,1.28022750066e-37,9.16849276791e-30,7.62860794263e-27,4.41705395892e-42,1.88293411239e-29,6.9253028768e-45,2.20813976053e-16,3.7781034913e-35,2.1498153252e-52,8.89046159579e-187,2.54206543491e-33,2.27366283814e-16,1.05569332156e-16,-136.9599696
