1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-Albert 2008,10-Bankston 2007b,13-Baroudi 2000b,14-Baroudi 2001,15-Bezzina 2003,16-Bezzina 2003,17-Casini 2007,18-Deschenes 2000,19-Detta 2014,20-Ellinor 2008,21-Groenewegen 2003a,22-Groenewegen 2003a,23-Groenewegen 2003b,24-Guetter 2013,25-Guetter 2013,26-Gui 2010a,27-Gui 2010a,28-Gui 2010b,29-Huang 2009,30-Itoh 2005a,31-Itoh 2005b,33-Kato 2014,34-Lin 2008,36-Lupoglazoff 2001,38-Makita 2002,39-Makiyama 2008,40-Mohler 2004,41-Moreau 2013,42-Murphy 2012,43-Neu 2010,44-Nguyen 2008,45-Rook 1999,46-Shirai 2002,47-Smits 2005a,48-Smits 2005b,49-Surber 2008,50-Surber 2008,51-Tan 2002,52-Tarradas 2013,53-Viswanathan 2003,54-Wang 1996,55-Wang 2002,56-Wang 2007a,57-Wang 2007b,58-Wang 2008,59-Wang 2015,60-Wedekind 2001,63-Yang 2002,64-Ye 2003,65-Young 2005,66-Zhang 2008,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20747405326e-131,6.1061514447e-31,6.69011000726e-115,9.6944244899e-15,2.65858582239e-32,1.17676234067e-147,1.31469465271e-81,0.0,0.0,7.69693499814e-60,6.12288966133e-32,5.35911591389e-61,5.01378154013e-168,1.44653964775e-185,1.31830052353e-210,5.07622253857e-301,0.0,9.21739151506e-48,3.27691288962e-41,3.77329144359e-54,3.91931385533e-23,0.0,4.27257798587e-33,2.67492765094e-118,2.1989504761e-139,8.87029622201e-293,1.59991912642e-98,1.31483210958e-19,1.36694936162e-51,0.0,0.0,3.2522446025e-303,1.76067128216e-116,7.06114122401e-28,1.23650700849e-50,1.27788045653e-180,1.63809543016e-254,0.0,1.0973119154e-99,1.18638712118e-45,3.94039011771e-115,0.0,2.63277396205e-42,0.0,0.0,1.77319174623e-37,9.28411855633e-22,8.04931421828e-12,2.0101133193e-75,0.0,8.05900877522e-12,1.15326356968e-21,-138.399984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61763104056e-131,7.60295967881e-31,1.64494734772e-114,1.04627765195e-14,3.28942085632e-32,3.40913074745e-147,2.58925730218e-81,0.0,0.0,1.17482253723e-59,7.53461379323e-32,8.13553205375e-61,1.62023535571e-167,5.19387224122e-185,5.73994306073e-210,4.15967662053e-300,0.0,1.33253954121e-47,4.33557724689e-41,5.51689587967e-54,4.64164662268e-23,0.0,5.41390611449e-33,6.75830327355e-118,6.31971569793e-139,8.05518678572e-292,3.46523752291e-98,1.50067414868e-19,2.04604215038e-51,0.0,0.0,3.94276317398e-302,4.19507950985e-116,8.51230040976e-28,1.7078864601e-50,4.96000432777e-180,1.07892770047e-253,0.0,2.26443048513e-99,1.6408454081e-45,9.75215832465e-115,0.0,3.58032707629e-42,0.0,0.0,2.29881328847e-37,1.08599184617e-21,8.55017961584e-12,3.31405445239e-75,0.0,8.56064254356e-12,1.33460287415e-21,-138.2399824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.195880576e-130,9.46303697979e-31,4.03816850732e-114,1.12906896253e-14,4.06853327522e-32,9.8595556624e-147,5.0929523727e-81,0.0,0.0,1.79195051903e-59,9.26874517496e-32,1.23421729492e-60,5.2263821333e-167,1.8612502235e-184,2.4935278138e-209,3.39761900449e-299,0.0,1.92513445047e-47,5.73365165439e-41,8.0611890054e-54,5.49533335041e-23,0.0,6.85726344891e-33,1.70473351858e-117,1.81303038054e-138,7.28827580237e-291,7.49504194735e-98,1.71236922662e-19,3.06024455085e-51,0.0,0.0,4.75836011406e-301,9.98094887637e-116,1.0258449509e-27,2.35782362533e-50,1.92084996987e-179,7.08449944322e-253,0.0,4.66736974e-99,2.26815118322e-45,2.4097244292e-114,0.0,4.86631753887e-42,0.0,0.0,2.97894741652e-37,1.26993880358e-21,9.0812811755e-12,5.45971281253e-75,0.0,9.09257203768e-12,1.54408907043e-21,-138.0799808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00775716359e-130,1.17736500034e-30,9.89761524782e-114,1.21826731381e-14,5.030440033e-32,2.84662210789e-146,1.00047931024e-80,0.0,0.0,2.73136066839e-59,1.139819995e-31,1.87115667215e-60,1.68280802374e-166,6.65688174924e-184,1.08077259124e-208,2.7662152864e-298,0.0,2.77939913125e-47,7.57910673908e-41,1.17715404593e-53,6.5039313424e-23,0.0,8.68181131226e-33,4.29307535616e-117,5.19204047147e-138,6.57030716482e-290,1.61890441806e-97,1.95345468425e-19,4.5737992334e-51,0.0,0.0,5.71680062655e-300,2.37122728952e-115,1.23588837506e-27,3.25352044934e-50,7.42205891449e-179,4.63756148132e-252,0.0,9.60881285097e-99,3.1335701573e-45,5.94482579133e-114,0.0,6.61069009731e-42,0.0,0.0,3.85862981778e-37,1.48459968677e-21,9.6443848975e-12,8.98775071285e-75,0.0,9.65656776753e-12,1.78603289196e-21,-137.9199792
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14070079339e-129,1.46428104197e-30,2.42209063796e-113,1.31435692768e-14,6.21761395203e-32,8.20466931898e-146,1.96286621939e-80,0.0,0.0,4.1603645101e-59,1.40122211507e-31,2.83492474454e-60,5.40851882352e-166,2.37623561597e-183,4.67377606921e-208,2.24488174568e-297,0.0,4.01004881866e-47,1.00139884607e-40,1.71789800316e-53,7.69516243174e-23,0.0,1.09872560042e-32,1.07937836913e-116,1.48421393234e-137,5.90144330808e-289,3.49200156678e-97,2.22794354089e-19,6.83089277997e-51,0.0,0.0,6.83735156979e-299,5.6252814522e-115,1.48846801919e-27,4.48730586191e-50,2.86137588091e-178,3.02645257254e-251,0.0,1.97583911483e-98,4.32683103994e-45,1.46425258503e-113,0.0,8.97556435304e-42,0.0,0.0,4.99590918519e-37,1.735027161e-21,1.02413562471e-11,1.47843861681e-74,0.0,1.0254500041e-11,2.06539616905e-21,-137.7599776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59533943265e-129,1.82041536313e-30,5.9178493938e-113,1.41785770649e-14,7.68229896181e-32,2.36075617974e-145,3.84607174998e-80,0.0,0.0,6.33261387976e-59,1.72199972514e-31,4.29225755977e-60,1.7351318225e-165,8.46565837309e-183,2.01657765987e-207,1.81592183952e-296,0.0,5.7817231588e-47,1.3225085658e-40,2.50548224552e-53,9.10163829571e-23,0.0,1.38991274668e-32,2.70939357614e-116,4.23526302026e-137,5.28132017138e-288,7.52200698965e-97,2.54038730888e-19,1.01942961718e-50,0.0,0.0,8.14070283083e-298,1.3325547063e-114,1.79210110424e-27,6.18596859718e-50,1.10063923266e-177,1.96898200627e-250,0.0,4.05805321657e-98,5.97122644625e-45,3.60079155434e-113,0.0,1.21799454848e-41,0.0,0.0,6.46557412287e-37,2.02709234337e-21,1.08741655343e-11,2.43011394573e-74,0.0,1.08883443676e-11,2.38788876548e-21,-137.599976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89807819422e-129,2.26229522357e-30,1.44361411434e-112,1.52932779147e-14,9.48873521871e-32,6.78109732747e-145,7.5264148884e-80,0.0,0.0,9.63238710788e-59,2.11550743238e-31,6.49445738103e-60,5.55644426036e-165,3.01012517375e-182,8.68111432401e-207,1.46418861925e-295,0.0,8.33055271171e-47,1.74579097647e-40,3.65186877817e-53,1.07617101502e-22,0.0,1.75754002827e-32,6.78990457111e-116,1.20639552032e-136,4.70910577052e-287,1.61807674607e-96,2.89594694596e-19,1.52025497145e-50,0.0,0.0,9.64883803815e-297,3.15206784821e-114,2.15699056614e-27,8.52353316829e-50,4.22410426099e-177,1.27706588858e-249,0.0,8.32469273463e-98,8.23607392985e-45,8.84066793085e-113,0.0,1.65195242786e-41,0.0,0.0,8.36393781213e-37,2.36761526182e-21,1.15448935719e-11,3.99136126207e-74,0.0,1.15601871419e-11,2.76007973286e-21,-137.4399744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33881578927e-128,2.81035251806e-30,3.51602556731e-112,1.64936629938e-14,1.17158856743e-31,1.94449848691e-144,1.47096730451e-79,0.0,0.0,1.46414517565e-58,2.59807339759e-31,9.82003024765e-60,1.77611796528e-164,1.06822060769e-181,3.72863156998e-206,1.17677407953e-294,0.0,1.19949718011e-46,2.30350064934e-40,5.31947628842e-53,1.27204638109e-22,0.0,2.22147947587e-32,1.69882417177e-115,3.43023988864e-136,4.18356079946e-286,3.47592647631e-96,3.30047297893e-19,2.26545283454e-50,0.0,0.0,1.1384848523e-295,7.44519000255e-114,2.5953547154e-27,1.17387406126e-49,1.61749829427e-176,8.25749928313e-249,0.0,1.70570138692e-97,1.13537681647e-44,2.16709170531e-112,0.0,2.23933125292e-41,0.0,0.0,1.08149778843e-36,2.76451576243e-21,1.22557376243e-11,6.55068171733e-74,0.0,1.22722316203e-11,3.18952473572e-21,-137.2799728
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03546384286e-128,3.4898362874e-30,8.55001000873e-112,1.77861624918e-14,1.44607758923e-31,5.56639511918e-144,2.87119028926e-79,0.0,0.0,2.22399418662e-58,3.18965461968e-31,1.48386925739e-59,5.66704955229e-164,3.78346679942e-181,1.59785344006e-205,9.42725712342e-294,0.0,1.7259711681e-46,3.03799305994e-40,7.74377044713e-53,1.50308845889e-22,0.0,2.80671799123e-32,4.24352124132e-115,9.73609307811e-136,3.70309979464e-285,7.45672501533e-96,3.76059596021e-19,3.37344026652e-50,0.0,0.0,1.33726852169e-294,1.75600493728e-113,3.12182057351e-27,1.6158954693e-49,6.17977404708e-176,5.32288970346e-248,0.0,3.49077701666e-97,1.56431027608e-44,5.30364707231e-112,0.0,3.0339453856e-41,0.0,0.0,1.39782118021e-36,3.22698801422e-21,1.30090176634e-11,1.07429367668e-73,0.0,1.30268042053e-11,3.6849120924e-21,-137.1199712
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87421706547e-128,4.33193611379e-30,2.07584496762e-111,1.91776769166e-14,1.78425835671e-31,1.59074014336e-143,5.59712524704e-79,0.0,0.0,3.3758446138e-58,3.91463510177e-31,2.24073917197e-59,1.80489761446e-163,1.33743129707e-180,6.83184311054e-205,7.52789933262e-293,0.0,2.48185687487e-46,4.0048620361e-40,1.12659013244e-52,1.77552205406e-22,0.0,3.54466049361e-32,1.05827251404e-114,2.75848348894e-135,3.26585153798e-284,1.59746648372e-95,4.28382856309e-19,5.01961526439e-50,0.0,0.0,1.56368443032e-293,4.13566543888e-113,3.75389302968e-27,2.22328391784e-49,2.35570510689e-175,3.42066128432e-247,0.0,7.13551837036e-97,2.15411490114e-44,1.29591661534e-111,0.0,4.10833442691e-41,0.0,0.0,1.80587937642e-36,3.7657022368e-21,1.38071829437e-11,1.76047799377e-73,0.0,1.3826361053e-11,4.25623010858e-21,-136.9599696
