0-Abriel 2000,1-Abriel 2001,2-Abriel 2001,3-Abriel 2001,4-Abriel 2001,5-Abriel 2001,6-Akai 2000,7-An 1998,8-Bankston 2007b,9-Baroudi 2000b,10-Baroudi 2001,11-Casini 2007,12-Deschenes 2000,14-Huang 2009,17-Itoh 2007,18-Lin 2008,19-Liu 2002,20-Lupoglazoff 2001,21-Makita 2002,22-Makiyama 2008,23-Mohler 2004,24-Moreau 2013,25-Neu 2010,26-Nguyen 2008,27-Smits 2005a,28-Smits 2005b,29-Viswanathan 2003,30-Wang 2002,31-Wang 2007a,33-Wang 2008,34-Wedekind 2001,35-Yang 2002,sum,gauss,x
0.0,0.0,0.0,0.0,0.0,0.0,1.19604114425e-21,5.37449152926e-63,1.21389388665e-137,1.42134650401e-19,4.31929862884e-93,4.8756906301e-13,1.39134414457e-53,1.23879472333e-22,3.31567436297e-48,1.07151380636e-58,9.24330780686e-28,1.37152708018e-37,2.0467828532e-25,1.34423303859e-43,0.0,1.73050379211e-24,4.27851902246e-31,1.61209038436e-84,1.75117622787e-43,2.34235169978e-09,2.65870880837e-42,1.90657559293e-11,3.93485053711e-30,3.93485053711e-30,1.82993205152e-17,0.0,2.36190504322e-09,1.00646800334e-05,-138.399984
0.0,0.0,0.0,0.0,0.0,0.0,1.50816903377e-21,9.34261367251e-63,5.29619656159e-137,1.86025090331e-19,1.81632058052e-92,5.61083298945e-13,3.4284117942e-53,1.80197933295e-22,6.6550790589e-48,3.02526950175e-58,1.21146120332e-27,2.37998604405e-37,2.88893501994e-25,2.20703792758e-43,0.0,2.42479880245e-24,6.57795860238e-31,5.47692341324e-84,3.2035005757e-43,2.61548948944e-09,4.55593905834e-42,2.2410465058e-11,5.90028572426e-30,5.90028572426e-30,2.36065464601e-17,0.0,2.63846106159e-09,1.05589252015e-05,-138.2399824
0.0,0.0,0.0,0.0,0.0,0.0,1.90052590734e-21,1.62224647635e-62,2.30262036203e-136,2.43236337985e-19,7.59967444948e-92,6.45393533564e-13,8.41821414251e-53,2.6170515457e-22,1.33264236459e-47,8.50539001e-58,1.58672758311e-27,4.12201065405e-37,4.0728434376e-25,3.61887083328e-43,0.0,3.39369494374e-24,1.00985384524e-30,1.85330431021e-83,5.84873409082e-43,2.91917359083e-09,7.79440797445e-42,2.63238346821e-11,8.83575286851e-30,8.83575286851e-30,3.04221549377e-17,0.0,2.94614284971e-09,1.10758449581e-05,-138.0799808
0.0,0.0,0.0,0.0,0.0,0.0,2.39341188793e-21,2.813731997e-62,9.97597751495e-136,3.17739174073e-19,3.16388497146e-91,7.42041073391e-13,2.05975483346e-52,3.79478136791e-22,2.66227589653e-47,2.38115826432e-57,2.07685414751e-27,7.12538746772e-37,5.73524001183e-25,5.92603787302e-43,0.0,4.74420921627e-24,1.54808794844e-30,6.24625328543e-83,1.06571496573e-42,3.25666383209e-09,1.33133226538e-41,3.08993174431e-11,1.32141670424e-29,1.32141670424e-29,3.91658464298e-17,0.0,3.2883052301e-09,1.16163967312e-05,-137.9199792
0.0,0.0,0.0,0.0,0.0,0.0,3.01218033213e-21,4.87490391354e-62,4.30688680291e-135,4.14666013985e-19,1.31059828342e-90,8.52780669791e-13,5.0220341896e-52,5.49380517987e-22,5.30605263324e-47,6.63813616388e-57,2.71656681229e-27,1.2293414847e-36,8.06676522734e-25,9.69133972262e-43,0.0,6.62443439296e-24,2.369749579e-30,2.09679143204e-82,1.93803836264e-42,3.63154983186e-09,2.27032419198e-41,3.62451635036e-11,1.97361182882e-29,1.97361182882e-29,5.03715233203e-17,0.0,3.66864782683e-09,1.21815742829e-05,-137.7599776
0.0,0.0,0.0,0.0,0.0,0.0,3.78847449818e-21,8.43658781971e-62,1.85287588171e-134,5.40644134402e-19,5.40183999777e-90,9.7960911482e-13,1.2201476063e-51,7.94093719976e-22,1.05504041342e-46,1.84275635189e-56,3.55095811056e-27,2.11690449543e-36,1.13329031366e-24,1.58281904535e-42,0.0,9.23905840821e-24,3.62225481648e-30,7.01057537571e-82,3.51743265836e-42,4.04778234761e-09,3.86533725201e-41,4.2486669273e-11,2.94380745769e-29,2.94380745769e-29,6.4717640958e-17,0.0,4.09124869126e-09,1.27724088954e-05,-137.599976
0.0,0.0,0.0,0.0,0.0,0.0,4.76176153886e-21,1.45842816967e-61,7.94335686408e-134,7.04222542361e-19,2.2153229669e-89,1.12479753147e-12,2.95402150308e-51,1.14599383266e-21,2.09288654626e-46,5.09393668668e-56,4.63854178692e-27,3.63826785312e-36,1.59029200305e-24,2.58170592512e-42,0.0,1.28706523888e-23,5.52872846961e-30,2.33461289604e-81,6.37134806132e-42,4.50970738802e-09,6.57029702853e-41,4.97687524723e-11,4.38513307888e-29,4.38513307888e-29,8.30654260631e-17,0.0,4.5606010218e-09,1.33899705881e-05,-137.4399744
0.0,0.0,0.0,0.0,0.0,0.0,5.98123398877e-21,2.51837672917e-61,3.39341281064e-133,9.16418238449e-19,9.03973284861e-89,1.29092781679e-12,7.12661840741e-51,1.65121951e-21,4.14191636623e-46,1.40217763005e-55,6.05519541572e-27,6.24097940126e-36,2.22898174783e-24,4.20542924265e-42,0.0,1.79088355421e-23,8.42638392013e-30,7.74352820547e-81,1.15180507396e-41,5.02210331113e-09,1.11501500193e-40,5.82588984703e-11,6.52351806164e-29,6.52351806164e-29,1.06506948255e-16,0.0,5.08165324485e-09,1.40353693645e-05,-137.2799728
0.0,0.0,0.0,0.0,0.0,0.0,7.50816515745e-21,4.34383971859e-61,1.44458862545e-132,1.19141454758e-18,3.67026442463e-88,1.48093375056e-12,1.71325469659e-50,2.37541423314e-21,8.17779111245e-46,3.8434071282e-55,7.899245644e-27,1.06850240819e-35,3.12054240366e-24,6.84135211663e-42,0.0,2.48901821347e-23,1.28241013754e-29,2.55814805679e-80,2.07811109503e-41,5.59022114521e-09,1.88918510873e-40,6.81505286401e-11,9.69184980784e-29,9.69184980784e-29,1.36425517641e-16,0.0,5.65985274522e-09,1.47097564903e-05,-137.1199712
0.0,0.0,0.0,0.0,0.0,0.0,9.41882476331e-21,7.4841817803e-61,6.12811013494e-132,1.54745292857e-18,1.48273085335e-87,1.698147343e-12,4.10420390889e-50,3.41181841839e-21,1.61083014853e-45,1.04904378199e-54,1.02980226124e-26,1.82584092621e-35,4.36362683121e-24,1.11147989563e-41,0.0,3.45527596975e-23,1.9488677158e-29,8.41734747179e-80,3.74197302074e-41,6.21982838624e-09,3.19570301615e-40,7.96668479996e-11,1.43799440539e-28,1.43799440539e-28,1.74571484438e-16,0.0,6.30119355771e-09,1.54143258027e-05,-136.9599696
