pub,va,+-,vi,+-,dv
Li 2009,-56.59,8.4262447152,-104.33,7.7403875872,47.739999999999995
Lin 2008,-54.64,3.9157119404,-99.04,4.921463197,44.400000000000006
Liu 2003a,-50.41,8.7558894466,-76.4,9.6,25.99000000000001
Lupoglazoff 2001,-47.23,15.6920361968,-92.47,7.2965745388,45.24
Makita 2002,-47.2,7.932212806,-91.0,9.3744333162,43.8
Makita 2005,-48.1,7.8460180984,-86.6,7.4215901262,38.49999999999999
Makita 2008,-49.7,12.4450793488,-86.8,11.0,37.099999999999994
Makiyama 2008,-43.61,7.5774138068,-78.08,8.8179816284,34.47
Marangoni 2011,-44.0,16.0,-92.0,14.4222051018,48.0
Medeiros-Domingo 2007,-43.78,5.7243340224,-78.77,7.0202564056,34.989999999999995
Medeiros-Domingo 2009,-38.6,6.9713700232,-76.0,10.4613574644,37.4
Mohler 2004,-41.8,5.2915026222,-68.9,2.3237900078,27.10000000000001
Mok 2003,-47.2,11.2,-91.1,1.385640646,43.89999999999999
Moreau 2013,-47.9,8.6533230612,-92.0,9.3744333162,44.1
Murphy 2012,-50.9,20.571825393,-102.0,12.6491106406,51.1
Nakajima 2015,-38.7,6.196773354,-85.9,4.9477267508,47.2
Neu 2010,-50.9,11.7779454914,-90.9,8.4,40.00000000000001
Nguyen 2008,-47.8,3.1622776602,-89.4,5.0596442562,41.60000000000001
Olesen 2012,-27.9,12.1950809756,-85.6,9.0,57.699999999999996
Otagiri 2008,-44.4,8.5158675424,-88.3,9.7324200484,43.9
Pfahnl 2007,-50.0,3.098386677,-98.0,17.0411267234,48.0
Rivolta 2001,-23.3,4.472135955,-62.8,6.2353829072,39.5
Rook 1999,-35.9,1.8973665962,-77.4,0.632455532,41.50000000000001
Rossenbacker 2004,-24.1,1.788854382,-70.9,2.8,46.800000000000004
Ruan 2007,-23.2,3.8460369212,-62.5,4.3006976178,39.3
Ruan 2010,-23.08,3.54,-67.69,6.0275368104,44.61
Saber 2015,-24.0,9.7979589712,-66.0,9.7979589712,42.0
Samani 2009,-36.0,10.053854982,-89.9,10.8,53.900000000000006
