0-Abe 2014,2-Beyder 2014,3-Calloe 2011,4-Calloe 2011,5-Calloe 2013,6-Cheng 2010,7-Cheng 2010,8-Cheng 2011,9-Gosselin-Badaroudine 2012,10-Hu 2014,11-Hu 2015,12-Kapplinger 2015,13-Kapplinger 2015,14-Kapplinger 2015,15-Kapplinger 2015,16-Kapplinger 2015,17-Kapplinger 2015,18-Kapplinger 2015,19-Kapplinger 2015,20-Kapplinger 2015,21-Kapplinger 2015,22-Kapplinger 2015,23-Kapplinger 2015,24-Kapplinger 2015,25-Kapplinger 2015,26-Kapplinger 2015,27-Kapplinger 2015,28-Kapplinger 2015,29-Kapplinger 2015,30-Kapplinger 2015,31-Kapplinger 2015,32-Kapplinger 2015,33-Kapplinger 2015,34-Liu 2005,35-Medeiros-Domingo 2009,36-Nakajima 2015,37-Samani 2009,38-Shuraih 2007,39-Swan 2014,40-Tan 2005,41-Tan 2005,42-Tan 2005,43-Tan 2005,44-Tan 2005,45-Tan 2005,46-Tan 2005,47-Tan 2006,48-Tester 2010,49-Valdivia 2004,sum,gauss,x
8.95518301008e-29,1.10879899273e-29,0.0,5.22728334316e-250,0.0,1.00962805945e-57,3.11600672956e-139,3.94705826063e-45,1.03045242697e-79,2.5079286034e-34,6.93751403053e-19,1.37032975377e-96,5.06340197665e-102,0.0,1.11792762842e-120,4.71657567206e-215,9.43611423197e-115,1.58241209742e-120,4.3484839063e-101,1.51115006024e-97,2.0062857493e-112,0.0,9.43611423197e-115,9.46396679951e-268,1.51115006024e-97,4.36652811348e-257,1.28867242218e-49,1.11792762842e-120,0.0,3.93389064609e-51,1.11792762842e-120,8.90088576727e-93,9.63458094988e-106,1.54435102503e-24,1.94397537258e-34,5.26387919775e-101,4.58894880328e-21,0.0,5.81383999899e-39,7.62107777954e-31,7.71117256079e-28,5.36053567926e-44,9.50695881145e-31,7.1385224172e-47,1.21195959598e-16,3.36615524626e-36,7.80333465241e-55,1.20954316108e-194,3.03935878487e-35,1.21894301495e-16,6.40099175396e-16,-138.399984
1.2609528403e-28,1.7397166731e-29,0.0,1.04323960173e-248,0.0,1.99515455563e-57,1.40671136227e-138,6.45642775556e-45,4.49023763065e-79,4.11671032434e-34,8.40466971575e-19,4.38818001364e-96,2.09481915041e-101,0.0,4.87389214152e-120,6.21175219252e-214,3.96179963222e-114,6.86862943972e-120,1.58753394681e-100,4.79279131063e-97,8.29749392543e-112,0.0,3.96179963222e-114,2.73580800414e-266,4.79279131063e-97,1.3652957435e-255,2.35238976023e-49,4.87389214152e-120,0.0,7.15490401648e-51,4.87389214152e-120,2.62431697328e-92,3.46676377252e-105,2.24654156075e-24,2.79877837747e-34,2.07249653018e-100,5.98545617565e-21,0.0,8.8202069886e-39,1.04596069621e-30,1.02174313843e-27,9.01579693785e-44,1.33174175208e-30,1.22259522423e-46,1.41879893676e-16,5.11985437347e-36,1.52325318112e-54,1.00996767713e-193,4.68239979109e-35,1.42726348351e-16,7.65336412975e-16,-138.2399824
1.77371825849e-28,2.72504232178e-29,0.0,2.06566816576e-247,0.0,3.93535809949e-57,6.32750241397e-138,1.05477898142e-44,1.94460690082e-78,6.74580613086e-34,1.01767439482e-18,1.40078399205e-95,8.62820445899e-101,0.0,2.11637559364e-119,8.12524741809e-213,1.65670975988e-113,2.96950025457e-119,5.77414188259e-100,1.51542039621e-96,3.41787128723e-111,0.0,1.65670975988e-113,7.83528965158e-265,1.51542039621e-96,4.22576404072e-254,4.28681572554e-49,2.11637559364e-119,0.0,1.29920078534e-50,2.11637559364e-119,7.71549865742e-92,1.24309120594e-104,3.263267028e-24,4.02568598608e-34,8.12577920201e-100,7.80009724089e-21,0.0,1.3366916094e-38,1.43438882942e-30,1.3528641862e-27,1.51415303328e-43,1.86381841372e-30,2.09086879494e-46,1.66024448403e-16,7.77808527014e-36,2.96784766792e-54,8.39015429035e-193,7.20442136496e-35,1.6704992616e-16,9.14620344252e-16,-138.0799808
2.49248092188e-28,4.26124986397e-29,0.0,4.05793902825e-246,0.0,7.74790971496e-57,2.83583108962e-137,1.72100071362e-44,8.3698069042e-78,1.10348341483e-33,1.2315965488e-18,4.45743780922e-95,3.5380509598e-100,0.0,9.15301514124e-119,1.05558746358e-211,6.90009324928e-113,1.27867282094e-118,2.09233470407e-99,4.77684797261e-96,1.40222940488e-110,0.0,6.90009324928e-113,2.22321532948e-263,4.77684797261e-96,1.29470785046e-252,7.79864478384e-49,9.15301514124e-119,0.0,2.35526441442e-50,9.15301514124e-119,2.26191541067e-91,4.44190293117e-104,4.73326137331e-24,5.78502068289e-34,3.17263075158e-99,1.0155972056e-20,0.0,2.02358014752e-38,1.96549064384e-30,1.79001978979e-27,2.5392481166e-43,2.60610769953e-30,3.57059494572e-46,1.94196642348e-16,1.18026469567e-35,5.77150091615e-54,6.93439837003e-192,1.10706676002e-34,1.95438399604e-16,1.09247802507e-15,-137.9199792
3.49897196446e-28,6.65226853307e-29,0.0,7.90895212909e-245,0.0,1.52257055332e-56,1.26633647157e-136,2.80447159742e-44,3.58030622417e-77,1.80196425537e-33,1.48970233428e-18,1.41392639717e-94,1.44436682142e-99,0.0,3.94266813458e-118,1.3620310564e-210,2.86231940525e-112,5.4840106382e-118,7.55360277286e-99,1.50111302668e-95,5.72976806084e-110,0.0,2.86231940525e-112,6.24978436248e-262,1.50111302668e-95,3.926687599e-251,1.4163228205e-48,3.94266813458e-118,0.0,4.26279060533e-50,3.94266813458e-118,6.61231246104e-91,1.5816939676e-103,6.85548334535e-24,8.30545769979e-34,1.2335516786e-98,1.32117910443e-20,0.0,3.06017555411e-38,2.69108629626e-30,2.3667513143e-27,4.25216614965e-43,3.64071178432e-30,6.08869345676e-46,2.27054370744e-16,1.78886578799e-35,1.1202464665e-53,5.70195775756e-191,1.69899698736e-34,2.28557291728e-16,1.30427129006e-15,-137.7599776
4.9069371612e-28,1.0367440864e-28,0.0,1.52932872272e-243,0.0,2.98650249599e-56,5.63428208532e-136,4.56427132999e-44,1.52210995722e-76,2.93748015166e-33,1.80095123197e-18,4.47090765863e-94,5.87030528287e-99,0.0,1.69149559316e-117,1.7454803088e-209,1.18259444777e-111,2.34260966344e-117,2.71679208549e-98,4.70271922921e-95,2.33189837708e-109,1.48219693752e-323,1.18259444777e-111,1.74062641587e-260,4.70271922921e-95,1.17887824061e-249,2.56781750685e-48,1.69149559316e-117,1.48219693752e-323,7.70263401481e-50,1.69149559316e-117,1.92750283158e-90,5.61258818745e-103,9.91483273229e-24,1.19128551132e-33,4.7761556855e-98,1.71719894973e-20,0.0,4.62284163709e-38,3.68160190498e-30,3.12707706068e-27,7.11025262703e-43,5.0814238151e-30,1.03675789641e-45,2.65360633354e-16,2.70811888009e-35,2.17028139472e-53,4.66461249552e-190,2.60408705317e-34,2.67178766494e-16,1.55634735194e-15,-137.599976
6.8745130992e-28,1.61302977622e-28,0.0,2.93393989319e-242,0.0,5.84710534948e-56,2.49774888463e-135,7.41894708984e-44,6.4312145645e-76,4.78026658558e-33,2.17608485561e-18,1.40926279049e-93,2.375273559e-98,0.0,7.22779995954e-117,2.22166234567e-208,4.86640424441e-111,9.96699773675e-117,9.73504449996e-98,1.46875172488e-94,9.45228491625e-109,1.01777523043e-321,4.86640424441e-111,4.80289552238e-259,1.46875172488e-94,3.50347952573e-248,4.64755831116e-48,7.22779995954e-117,1.01777523043e-321,1.38955409988e-49,7.22779995954e-117,5.60275111223e-90,1.98468333272e-102,1.4318661503e-23,1.70711108904e-33,1.84154742649e-97,2.22996604785e-20,0.0,6.97603152044e-38,5.03267151669e-30,4.12872258201e-27,1.18721549407e-42,7.08581348871e-30,1.76278892342e-45,3.09999934992e-16,4.09495672569e-35,4.19658634074e-53,3.79650096749e-189,3.98623116198e-34,3.12198333832e-16,1.85621594723e-15,-137.4399744
9.62132322903e-28,2.50542972118e-28,0.0,5.58431680356e-241,0.0,1.14264555981e-55,1.1032645829e-134,1.20437991967e-43,2.70060514093e-75,7.76564798966e-33,2.62797433586e-18,4.42808203191e-93,9.56833440591e-98,0.0,3.07606836758e-116,2.80851218184e-207,1.99450502399e-110,4.22368553357e-116,3.47535165603e-97,4.57310751006e-94,3.81608986593e-108,6.06860832787e-320,1.99450502399e-110,1.31297888289e-257,4.57310751006e-94,1.03066670641e-246,8.39739009704e-48,3.07606836758e-116,6.06860832787e-320,2.50266425274e-49,3.07606836758e-116,1.62394862189e-89,6.99369344892e-102,2.06485315512e-23,2.44400078752e-33,7.07083410801e-97,2.89330758882e-20,0.0,1.05158551554e-37,6.87405339303e-30,5.44733373895e-27,1.97944664009e-42,9.87186468408e-30,2.99290542038e-45,3.61997181759e-16,6.18475546912e-35,8.09942016432e-53,3.07416961874e-188,6.0941558052e-34,3.64654109826e-16,2.21275759358e-15,-137.2799728
1.34520688059e-27,3.88500058504e-28,0.0,1.05452614802e-239,0.0,2.22881865882e-55,4.85547022572e-134,1.95269831016e-43,1.1270684678e-74,1.25936520835e-32,3.17203398935e-18,1.38696888355e-92,3.837327091e-97,0.0,1.30388848185e-115,3.52622261659e-206,8.14172993913e-110,1.7827136097e-115,1.23605799165e-96,1.41950888674e-93,1.53445794e-107,3.58430298154e-318,8.14172993913e-110,3.55606241747e-256,1.41950888674e-93,3.00140735207e-245,1.5146859573e-47,1.30388848185e-115,3.58430298154e-318,4.5000843502e-49,1.30388848185e-115,4.69361959502e-89,2.45589212691e-101,2.97334730001e-23,3.49570305478e-33,2.70359537854e-96,3.75067712931e-20,0.0,1.5834979305e-37,9.38166184042e-30,7.18196736091e-27,3.29554890529e-42,1.3740857941e-29,5.07405758198e-45,4.22539442674e-16,9.33012312602e-35,1.56023259288e-52,2.47655801085e-187,9.3048359093e-34,4.25749013177e-16,2.63646828872e-15,-137.1199712
1.87890476907e-27,6.01407687242e-28,0.0,1.97566418268e-238,0.0,4.33940828902e-55,2.12913711083e-133,3.16196608234e-43,4.67477408548e-74,2.0387974848e-32,3.82671363865e-18,4.33057102176e-92,1.53211391863e-96,0.0,5.50477433374e-115,4.3972210496e-205,3.31018949957e-109,7.49435689571e-115,4.37983969124e-96,4.39266923715e-93,6.14534104748e-107,2.09295095819e-316,3.31018949957e-109,9.54196988697e-255,4.39266923715e-93,8.65206290031e-244,2.72746796778e-47,5.50477433374e-115,2.09295095819e-316,8.07847995901e-49,5.50477433374e-115,1.35272071406e-88,8.59407830703e-101,4.27535150199e-23,4.99529753293e-33,1.02942817286e-95,4.85784298135e-20,0.0,2.38191987367e-37,1.27937896532e-29,9.46224159778e-27,5.47874946832e-42,1.91088118642e-29,8.58988814878e-45,4.93000999596e-16,1.40586572091e-34,2.9998698543e-52,1.98493162975e-186,1.41888754377e-33,4.9687633443e-16,3.13974687004e-15,-136.9599696
