name
"N-terminus"
"Segment 1"
"Segment 2"
"Segment 3"
"Segment 4"
"Segment 5"
"Segment 6"
"Linker 1-2"
"Linker 2-3"
"Linker 3-4"
"Linker 4-5"
"Linker 5-6"
"Domain linker"
"C-terminus"
