"key","tex"
"Kauferstein 2013a","Kauferstein2013aMutationDB"
"Kauferstein 2013b","Kauferstein2013bMutationDB"
"Kehl 2004","Kehl2004MutationDB"
"Keller 2005","Keller2005MutationDB"
"Keller 2006","Keller2006MutationDB"
"Kinoshita 2016","Kinoshita2016MutationDB"
"Kyndt 2001","Kyndt2001MutationDB"
"Lai 2005","Lai2005MutationDB"
"Laitinen-Forsblom 2006","LaitinenForsblom2006MutationDB"
"Lambiase 2009","Lambiase2009MutationDB"
"Laurent 2012","Laurent2012MutationDB"
"Le Scouarnec 2015","LeScouarnec2015MutationDB"
"Lee 2010","Lee2010MutationDB"
"Levy-Nissenbaum 2001","LevyNissenbaum2001MutationDB"
"Li 2009","Li2009MutationDB"
"Li 2013","Li2013MutationDB"
"Liang 2006","Liang2006MutationDB"
"Lieve 2013","Lieve2013MutationDB"
"Lin 2008","Lin2008MutationDB"
"Liu 2002","Liu2002MutationDB"
"Liu 2003a","Liu2003aMutationDB"
"Liu 2003b","Liu2003bMutationDB"
"Liu 2005","Liu2005MutationDB"
"Liu 2014","Liu2014MutationDB"
"Lopez 2011","Lopez2011MutationDB"
"Lupoglazoff 2001","Lupoglazoff2001MutationDB"
"Ma 2013","Ma2013MutationDB"
"Makita 1998","Makita1998MutationDB"
"Makita 2002","Makita2002MutationDB"
"Makita 2005","Makita2005MutationDB"
"Makita 2008","Makita2008MutationDB"
"Makiyama 2005","Makiyama2005MutationDB"
"Makiyama 2008","Makiyama2008MutationDB"
"Maltsev 1998","Maltsev1998MutationDB"
"Maltsev 2006","Maltsev2006MutationDB"
"Mank-Seymour 2006","MankSeymour2006MutationDB"
"Mann 2012","Mann2012MutationDB"
"Marangoni 2011","Marangoni2011MutationDB"
"Matsusue 2012","Matsusue2012MutationDB"
"Maury 2013","Maury2013MutationDB"
"McNair 2004","McNair2004MutationDB"
"McNair 2011","McNair2011MutationDB"
"McNulty 2007","McNulty2007MutationDB"
"Medeiros-Domingo 2007","MedeirosDomingo2007MutationDB"
"Medeiros-Domingo 2009","MedeirosDomingo2009MutationDB"
"Medlock 2012","Medlock2012MutationDB"
"Meregalli 2006","Meregalli2006MutationDB"
"Meregalli 2009","Meregalli2009MutationDB"
"Millat 2006","Millat2006MutationDB"
"Millat 2009a","Millat2009aMutationDB"
"Millat 2009b","Millat2009bMutationDB"
"Miller 2004","Miller2004MutationDB"
"Miura 2003","Miura2003MutationDB"
"Mohler 2004","Mohler2004MutationDB"
"Mok 2003","Mok2003MutationDB"
"Mok 2004","Mok2004MutationDB"
"Moreau 2013","Moreau2013MutationDB"
"Moric 2003","Moric2003MutationDB"
"Murphy 2012","Murphy2012MutationDB"
"Musa 2015","Musa2015MutationDB"
"Nair 2012","Nair2012MutationDB"
"Nakajima 2011","Nakajima2011MutationDB"
"Nakajima 2015","Nakajima2015MutationDB"
"Napolitano 2003","Napolitano2003MutationDB"
"Napolitano 2005","Napolitano2005MutationDB"
"Neu 2010","Neu2010MutationDB"
"Nguyen 2008","Nguyen2008MutationDB"
"Niimura 2004","Niimura2004MutationDB"
"Novotny 2011","Novotny2011MutationDB"
"Nunez 2013","Nunez2013MutationDB"
"O'Leary 2002","OLeary2002MutationDB"
"Olesen 2012","Olesen2012MutationDB"
"Olson 2005","Olson2005MutationDB"
"Otagiri 2008","Otagiri2008MutationDB"
"Park 2012","Park2012MutationDB"
"Paulussen 2003","Paulussen2003MutationDB"
"Paulussen 2004","Paulussen2004MutationDB"
"Peters 2008","Peters2008MutationDB"
"Petitprez 2008","Petitprez2008MutationDB"
"Pfahnl 2007","Pfahnl2007MutationDB"
"Piippo 2001","Piippo2001MutationDB"
"Plant 2006","Plant2006MutationDB"
"Poelzing 2006","Poelzing2006MutationDB"
"Postema 2011","Postema2011MutationDB"
"Potet 2003","Potet2003MutationDB"
"Potet 2015","Potet2015MutationDB"
"Priori 2000a","Priori2000aMutationDB"
"Priori 2000b","Priori2000bMutationDB"
"Priori 2002","Priori2002MutationDB"
"Probst 2009","Probst2009MutationDB"
"Refsgaard 2012","Refsgaard2012MutationDB"
"Reithmann 2012","Reithmann2012MutationDB"
"Ritchie 2012","Ritchie2012MutationDB"
"Riuro 2015","Riuro2015MutationDB"
"Rivolta 2001","Rivolta2001MutationDB"
"Rivolta 2002","Rivolta2002MutationDB"
"Robles 2015","Robles2015MutationDB"
"Robyns 2014","Robyns2014MutationDB"
"Rook 1999","Rook1999MutationDB"
"Rossenbacker 2004","Rossenbacker2004MutationDB"
"Ruan 2007","Ruan2007MutationDB"
"Ruan 2010","Ruan2010MutationDB"
"Rudnik-Schoeneborn 2011","RudnikSchoeneborn2011MutationDB"
"Saber 2015","Saber2015MutationDB"
"Saito 2009","Saito2009MutationDB"
"Sakakibara 1992","Sakakibara1992MutationDB"
"Sakakibara 1993","Sakakibara1993MutationDB"
"Samani 2009","Samani2009MutationDB"
"Sanecka 2016","Sanecka2016MutationDB"
"Sarhan 2009","Sarhan2009MutationDB"
"Savastano 2014","Savastano2014MutationDB"
"Sayeed 2014","Sayeed2014MutationDB"
"Schneider 1994","Schneider1994MutationDB"
"Schulze 2014","Schulze2014MutationDB"
"Schulze-Bahr 2003","SchulzeBahr2003MutationDB"
"Schwartz 1995","Schwartz1995MutationDB"
"Schwartz 2000","Schwartz2000MutationDB"
"Selly 2012","Selly2012MutationDB"
"Shen 2013","Shen2013MutationDB"
"Shin 2004","Shin2004MutationDB"
"Shinlapawittayatorn 2011a","Shinlapawittayatorn2011aMutationDB"
"Shinlapawittayatorn 2011b","Shinlapawittayatorn2011bMutationDB"
"Shirai 2002","Shirai2002MutationDB"
"Shuraih 2007","Shuraih2007MutationDB"
"Shy 2014","Shy2014MutationDB"
"Silver 2009","Silver2009MutationDB"
"Six 2008","Six2008MutationDB"
"Smits 2002","Smits2002MutationDB"
"Smits 2005a","Smits2005aMutationDB"
"Smits 2005b","Smits2005bMutationDB"
"Sommariva 2013","Sommariva2013MutationDB"
"Son 2013","Son2013MutationDB"
"Sottas 2013","Sottas2013MutationDB"
"Splawski 2000","Splawski2000MutationDB"
"Splawski 2002","Splawski2002MutationDB"
"Stattin 2012","Stattin2012MutationDB"
"Sung 2011","Sung2011MutationDB"
"Surber 2008","Surber2008MutationDB"
"Swan 2014","Swan2014MutationDB"
"Takahashi 2014","Takahashi2014MutationDB"
"Takahata 2003","Takahata2003MutationDB"
"Takehara 2004","Takehara2004MutationDB"
"Tan 2001","Tan2001MutationDB"
"Tan 2002","Tan2002MutationDB"
"Tan 2005","Tan2005MutationDB"
"Tan 2006","Tan2006MutationDB"
"Tan 2015","Tan2015MutationDB"
"Tarradas 2013","Tarradas2013MutationDB"
"Tateyama 2003","Tateyama2003MutationDB"
"Tester 2005","Tester2005MutationDB"
"Tester 2010","Tester2010MutationDB"
"Tester 2012","Tester2012MutationDB"
"Tian 2007","Tian2007MutationDB"
"Tsurugi 2009","Tsurugi2009MutationDB"
"Uzieblo-Zyczkowska 2013","UziebloZyczkowska2013MutationDB"
"Uzieblo-Zyczkowska 2014","UziebloZyczkowska2014MutationDB"
"Valdivia 2002","Valdivia2002MutationDB"
"Valdivia 2004","Valdivia2004MutationDB"
"Van Driest 2016","VanDriest2016MutationDB"
"Van Langen 2003","VanLangen2003MutationDB"
"Vatta 2002a","Vatta2002aMutationDB"
"Vatta 2002b","Vatta2002bMutationDB"
"Vernooy 2006","Vernooy2006MutationDB"
"Vilin 2001","Vilin2001MutationDB"
"Viswanathan 2003","Viswanathan2003MutationDB"
"Wan 2000","Wan2000MutationDB"
"Wan 2001","Wan2001MutationDB"
"Wang 1996","Wang1996MutationDB"
"Wang 2000","Wang2000MutationDB"
"Wang 2002","Wang2002MutationDB"
"Wang 2004","Wang2004MutationDB"
"Wang 2007a","Wang2007aMutationDB"
"Wang 2007b","Wang2007bMutationDB"
"Wang 2008","Wang2008MutationDB"
"Wang 2011","Wang2011MutationDB"
"Wang 2014","Wang2014MutationDB"
"Wang 2015","Wang2015MutationDB"
"Wang 2016","Wang2016MutationDB"
"Watanabe 2011a","Watanabe2011aMutationDB"
"Watanabe 2011b","Watanabe2011bMutationDB"
"Watanabe 2013","Watanabe2013MutationDB"
"Wattanasirichaigoon 1999","Wattanasirichaigoon1999MutationDB"
"Wedekind 2001","Wedekind2001MutationDB"
"Wehrens 2000","Wehrens2000MutationDB"
"Wehrens 2003","Wehrens2003MutationDB"
"Wei 1999","Wei1999MutationDB"
"Winkel 2012","Winkel2012MutationDB"
"Yamagishi 1998","Yamagishi1998MutationDB"
"Yang 2002","Yang2002MutationDB"
"Ye 2003","Ye2003MutationDB"
"Yi 2003","Yi2003MutationDB"
"Yokoi 2005","Yokoi2005MutationDB"
"Yokokawa 2007","Yokokawa2007MutationDB"
"Yong 2007","Yong2007MutationDB"
"Young 2005","Young2005MutationDB"
"Yu 2013","Yu2013MutationDB"
"Yu 2014","Yu2014MutationDB"
"Zakliaz-minskaia 2013","Zakliazminskaia2013MutationDB"
"Zeng 2013","Zeng2013MutationDB"
"Zeng 2016","Zeng2016MutationDB"
"Zhang 2008","Zhang2008MutationDB"
"Zhang 2014","Zhang2014MutationDB"
"Zhang 2015","Zhang2015MutationDB"
"Zhou 2015","Zhou2015MutationDB"
"Zhu 2015","Zhu2015MutationDB"
"Zimmer 2008","Zimmer2008MutationDB"
